,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.87,1.07,0.84,0.77,0.48,0.57,0.42,0.36,0.38,0.41,0.42,0.35,0.44,0.38
f_1,1.21,1.0,0.9,1.1,0.9,0.77,0.35,0.43,0.51,0.37,0.37,0.28,0.29,0.26,0.27,0.32
d_1,1.15,1.11,1.0,0.8,0.93,0.68,0.55,0.58,0.42,0.62,0.47,0.36,0.41,0.29,0.36,0.26
c_1,0.94,0.91,1.25,1.0,1.18,0.71,0.58,0.33,0.5,0.42,0.37,0.43,0.4,0.34,0.32,0.27
b_1,1.19,1.11,1.07,0.85,1.0,1.11,0.58,0.54,0.42,0.43,0.39,0.44,0.35,0.37,0.35,0.39
a_1,1.29,1.3,1.46,1.4,0.9,1.0,0.77,0.7,0.61,0.6,0.66,0.55,0.6,0.59,0.41,0.47
h_1,2.08,2.86,1.78,1.76,1.65,1.26,1.0,0.76,0.93,0.78,0.89,0.78,0.75,0.69,0.53,0.69
d_0,1.76,2.38,1.68,3.08,1.91,1.53,1.32,1.0,0.91,0.95,0.96,0.95,0.74,0.65,0.7,0.88
g_1,2.28,1.94,2.5,2.06,2.43,1.57,1.04,1.07,1.0,0.86,0.92,1.12,0.75,0.8,0.64,0.82
c_0,2.86,2.68,1.62,2.38,2.15,1.67,1.27,1.09,1.15,1.0,1.26,1.03,0.79,0.79,0.82,0.77
b_0,2.49,2.98,2.19,2.62,2.27,1.72,1.13,1.03,1.12,0.8,1.0,0.92,0.93,1.18,0.78,0.9
f_0,2.48,3.34,2.88,2.2,2.37,1.74,1.31,1.03,0.94,0.96,1.11,1.01,0.73,0.98,1.47,0.67
h_0,2.35,3.41,2.48,2.55,2.88,1.6,1.38,1.29,1.34,1.24,1.09,1.28,1.0,0.86,0.87,1.09
a_0,2.76,3.92,3.41,2.8,2.38,2.12,1.44,1.5,1.3,1.39,0.86,1.06,1.19,1.0,0.94,1.12
e_0,2.21,3.6,2.77,3.32,2.73,2.47,1.84,1.42,1.54,1.26,1.34,0.75,1.11,1.14,1.0,1.07
g_0,2.62,3.18,3.81,3.48,2.49,2.29,1.41,1.14,,1.26,1.14,1.52,0.91,0.97,0.98,1.0
