,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.5,0.63,0.7,0.82,0.6,0.55,0.8,1.29,0.92,0.73,0.88,0.8,0.8,0.68,0.88,0.39
f_1,1.09,1.51,0.67,0.64,0.54,0.47,0.75,0.83,0.76,0.76,0.66,0.46,0.73,0.61,0.8,0.45
d_1,0.65,0.82,1.52,0.54,0.62,0.5,0.77,0.67,1.26,0.76,0.91,0.78,0.94,0.74,0.82,0.73
c_1,0.64,0.72,0.7,1.56,0.95,0.63,0.81,0.74,0.38,0.59,0.61,0.81,0.8,0.65,0.87,0.77
b_1,0.8,0.8,0.64,0.72,1.63,0.82,0.75,0.82,0.75,0.59,0.43,0.76,0.93,0.65,0.7,0.68
a_1,0.76,0.78,0.93,0.67,0.67,1.8,1.01,0.85,0.84,0.78,1.09,0.75,1.11,0.42,0.84,0.68
h_1,0.94,1.16,0.96,0.89,0.74,0.54,1.73,0.92,1.01,1.19,1.08,0.92,0.76,0.88,1.32,0.97
d_0,0.79,1.01,0.65,1.51,0.84,0.78,1.1,1.55,1.04,1.09,1.16,1.05,1.34,0.91,1.0,0.94
c_0,1.01,1.03,0.95,0.74,0.7,0.6,1.11,1.17,1.57,1.1,1.83,1.11,1.34,1.2,1.18,1.05
g_1,0.88,0.84,1.38,1.0,0.78,0.56,0.93,0.92,1.23,1.81,1.1,1.19,1.12,1.0,0.91,0.95
b_0,0.77,1.23,0.99,1.07,0.64,0.54,1.23,1.22,1.02,1.03,1.66,1.19,1.31,1.54,1.12,0.96
f_0,0.78,0.87,1.14,1.05,0.9,0.8,1.35,1.13,1.22,1.11,1.07,1.67,1.3,0.95,1.06,1.82
h_0,0.99,1.36,1.08,1.01,0.94,0.7,0.85,1.06,1.18,1.27,1.08,0.92,0.96,0.96,1.43,0.96
a_0,0.97,1.12,1.25,0.81,0.86,0.49,1.11,1.33,1.27,1.01,1.23,1.36,1.29,1.76,1.26,1.25
g_0,0.92,1.04,1.47,0.95,0.97,0.74,1.12,1.12,1.02,0.81,1.18,1.57,1.22,0.65,0.82,1.04
e_0,0.76,1.26,1.2,0.96,1.04,0.86,1.44,1.18,0.93,1.14,1.19,0.96,1.15,0.86,1.21,1.71
