,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.93,1.08,0.89,0.58,0.77,0.59,0.6,0.9,0.59,0.65,0.68,,0.65,0.57
f_1,1.37,1.0,0.99,0.87,0.87,0.74,0.6,0.81,0.71,0.63,,0.68,0.57,0.47,0.54,0.43
d_1,1.08,1.01,1.0,1.0,1.06,0.83,0.71,0.49,0.88,,0.67,0.76,0.66,0.54,0.48,0.37
c_1,0.93,1.15,1.0,1.0,1.49,0.83,0.81,0.61,,0.53,0.6,0.59,0.69,0.52,0.59,0.55
b_1,1.12,1.16,0.94,0.67,1.0,1.2,0.75,0.69,0.76,0.69,0.69,,0.67,0.76,0.57,
a_1,1.72,1.35,1.2,1.21,0.83,1.0,0.9,0.69,0.73,0.65,0.7,0.63,0.57,,0.69,
h_1,1.3,1.66,1.41,1.23,1.33,1.11,1.0,1.28,1.05,0.81,0.86,0.84,,0.72,0.76,0.96
g_1,1.7,1.24,2.03,1.64,1.46,1.45,0.78,1.0,0.96,1.01,1.2,0.83,0.76,0.82,,0.88
c_0,1.68,1.4,1.14,,1.31,1.36,0.95,1.04,1.0,1.09,1.08,1.4,0.88,0.9,0.82,0.91
d_0,1.11,1.6,,1.87,1.44,1.53,1.23,0.99,0.92,1.0,0.94,0.88,0.93,0.81,0.89,0.93
f_0,1.69,,1.5,1.66,1.44,1.42,1.16,0.83,0.92,1.06,1.0,1.06,0.86,1.01,0.86,0.94
b_0,1.53,1.46,1.32,1.68,,1.59,1.19,1.2,0.71,1.13,0.94,1.0,0.89,1.18,1.15,1.13
h_0,1.48,1.75,1.51,1.45,1.49,1.75,,1.32,1.14,1.07,1.17,1.13,,0.93,1.08,0.95
e_0,,2.15,1.84,1.91,1.32,,1.38,1.22,1.11,1.23,0.99,0.85,1.08,1.0,0.79,
g_0,1.54,1.86,2.09,1.69,1.75,1.45,1.31,,1.22,1.12,1.16,0.87,0.93,1.26,,0.81
a_0,1.75,2.34,2.7,1.83,,,1.04,1.13,1.1,1.08,1.06,0.89,1.06,,1.23,1.0
