,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,2.45,4.14,5.5,4.69,4.14,1.27,1.73,0.93,0.9,0.8,0.83,0.64,0.86,3.3,0.61
f_1,4.57,0.44,4.27,4.41,3.73,3.99,0.79,1.52,0.93,0.79,0.92,3.18,0.42,0.76,0.9,0.72
d_1,4.92,4.41,0.42,5.23,4.72,4.83,1.22,0.71,4.33,0.82,0.93,0.77,0.6,0.88,0.83,0.45
c_1,3.62,4.56,6.75,0.41,4.32,4.58,1.48,1.48,0.5,2.83,1.01,0.88,0.73,1.3,1.17,0.76
b_1,5.11,5.64,4.51,2.42,0.4,6.35,1.51,1.4,1.07,1.63,3.91,1.02,0.7,1.02,0.98,0.56
a_1,6.2,6.04,6.05,6.09,3.69,0.33,2.13,1.92,1.1,1.43,1.41,1.15,1.1,4.93,1.17,1.23
h_1,5.74,5.64,5.38,4.63,3.88,4.47,0.35,1.4,1.4,1.01,0.97,1.02,2.22,0.88,0.8,0.86
g_1,5.94,6.08,5.37,6.04,4.93,5.57,1.14,0.32,1.37,1.05,1.23,1.19,0.67,1.06,0.7,2.04
d_0,2.82,6.79,16.16,5.55,6.87,4.82,1.77,1.78,0.45,1.21,1.04,1.09,0.77,1.98,0.89,0.81
c_0,5.26,5.96,2.8,23.15,6.8,5.49,1.8,1.67,1.56,0.42,1.06,1.38,0.74,1.03,1.13,0.77
b_0,5.2,5.81,4.27,6.53,34.78,5.93,2.17,1.71,1.12,0.61,0.4,1.05,1.06,1.01,1.14,1.05
f_0,5.23,18.2,6.16,6.13,5.39,5.17,1.69,0.97,1.06,1.23,1.1,0.42,0.81,1.15,0.98,0.59
h_0,6.71,6.42,6.28,8.21,8.49,6.06,6.51,2.41,1.5,1.41,1.57,1.6,2.71,1.82,1.19,1.05
a_0,6.77,7.2,6.25,6.12,13.76,18.1,2.12,2.6,1.8,1.04,0.66,1.44,1.0,0.35,1.18,1.23
e_0,16.75,9.76,7.25,6.69,5.33,10.03,1.87,2.0,1.51,1.39,1.61,0.61,1.27,1.36,0.34,0.72
g_0,8.54,7.86,9.87,7.87,9.11,6.58,1.55,4.73,2.48,1.64,1.74,1.44,0.82,1.54,1.25,2.33
