,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.93,1.13,1.05,1.0,0.95,1.34,1.12,0.95,1.06,1.25,0.92,1.05,1.0,1.14
f_1,1.22,1.0,0.94,1.02,0.9,0.83,0.85,1.05,1.06,0.92,0.95,0.92,1.01,0.92,0.83,0.99
d_1,1.07,1.05,1.0,0.94,0.9,0.94,1.11,0.98,0.85,1.25,1.13,0.96,1.05,0.92,0.98,0.86
c_1,0.86,0.98,1.09,1.0,1.31,1.02,1.02,0.73,0.97,0.88,0.82,0.94,0.97,1.01,1.02,1.01
b_1,0.95,1.12,1.09,0.79,1.0,1.34,1.02,0.96,1.0,1.1,0.94,0.95,0.93,1.07,1.09,0.93
a_1,0.99,1.14,1.06,0.99,0.77,1.0,1.17,0.96,1.13,1.05,1.14,1.0,0.95,1.12,0.98,1.07
h_1,1.02,1.13,0.95,1.01,0.97,0.84,1.0,0.96,1.06,0.91,0.92,0.94,0.96,1.02,0.99,1.13
d_0,0.77,0.94,1.02,1.37,1.09,1.0,1.0,1.0,1.12,0.79,1.02,1.0,1.05,1.06,1.06,1.06
g_1,0.88,0.95,1.15,1.03,0.99,0.92,0.94,0.89,1.0,1.01,0.98,1.2,1.06,0.88,1.14,1.08
c_0,1.03,1.09,0.82,1.19,0.89,0.96,1.1,1.21,1.0,1.0,1.38,1.01,1.18,1.06,1.04,1.08
b_0,0.93,1.04,0.91,1.22,1.12,0.88,1.14,0.97,1.01,0.75,1.01,0.95,1.42,1.09,0.97,1.07
f_0,0.82,1.08,1.02,1.03,1.07,0.96,1.05,1.02,0.85,0.95,1.07,1.0,1.0,1.01,1.42,0.91
a_0,1.04,0.98,0.92,1.0,1.09,0.99,1.01,0.99,0.99,0.88,0.73,1.0,1.0,1.05,1.0,1.01
h_0,0.98,1.07,1.07,0.95,0.98,0.92,1.0,0.96,1.14,0.93,0.94,0.99,0.96,1.0,0.96,1.16
e_0,1.0,1.18,1.0,0.98,0.91,1.03,1.01,0.96,0.89,1.01,1.08,0.74,0.98,1.06,1.0,0.92
g_0,0.9,0.97,1.19,0.96,1.08,0.95,0.89,0.98,0.94,0.97,0.99,1.11,1.04,0.88,1.09,1.0
