,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.28,0.51,0.59,0.38,0.48,0.38,0.94,1.87,0.88,0.58,0.84,1.1,0.92,1.21,0.4,1.13
f_1,0.91,2.31,0.39,0.44,0.37,0.42,0.76,0.97,0.99,0.61,0.94,0.36,0.75,0.98,0.68,1.12
c_1,0.4,0.5,2.4,0.54,0.82,0.29,0.72,0.82,0.34,0.7,0.7,0.87,0.68,1.11,0.72,0.91
d_1,0.47,0.55,0.36,2.41,0.47,0.33,0.98,0.43,1.78,0.93,1.23,0.91,0.99,1.37,0.97,1.01
b_1,0.5,0.48,0.62,0.5,2.47,0.6,0.85,0.93,0.91,0.64,0.3,0.79,0.57,1.13,0.69,1.05
a_1,0.49,0.48,0.54,0.52,0.45,3.09,1.0,1.12,0.92,0.76,1.01,0.83,0.6,1.15,0.92,1.53
h_1,0.52,0.87,0.52,0.6,0.56,0.39,3.06,1.14,1.2,1.28,1.26,1.11,1.1,0.88,1.02,1.5
d_0,0.63,0.69,1.04,0.3,0.6,0.36,0.95,2.63,1.04,0.93,0.89,1.11,1.08,1.6,0.83,1.15
c_0,0.62,0.71,0.34,0.72,0.46,0.39,1.09,1.17,2.6,1.12,2.45,1.41,1.26,1.56,0.8,1.16
g_1,0.59,0.49,0.58,0.92,0.52,0.39,0.93,0.8,1.16,3.55,1.16,1.79,1.1,1.48,1.11,0.6
b_0,0.53,0.64,0.63,0.66,0.29,0.5,1.15,1.12,1.46,1.04,2.85,1.31,2.31,1.35,1.08,1.47
f_0,0.5,0.4,0.66,0.62,0.59,0.47,1.24,1.45,1.39,1.0,1.47,2.97,1.3,2.03,1.91,1.22
a_0,0.62,0.71,0.65,0.67,0.46,0.27,1.06,1.46,1.55,0.84,1.24,1.05,2.88,1.33,1.04,1.06
h_0,0.6,0.87,0.58,0.63,0.58,0.4,0.44,1.26,1.33,1.43,1.18,1.06,0.93,1.14,1.04,1.92
e_0,0.35,0.7,0.57,0.71,0.58,0.36,1.25,1.27,1.53,1.1,1.35,1.14,1.24,1.84,3.11,1.65
g_0,0.56,0.61,0.59,1.02,0.51,0.41,1.05,0.99,1.38,0.55,1.06,1.89,1.0,1.53,0.96,0.98
