,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.82,1.7,1.68,1.27,1.22,0.64,0.7,0.6,0.68,0.55,0.57,0.52,0.52,1.3,0.51
f_1,1.6,0.41,1.14,1.34,1.3,1.34,0.55,0.9,0.48,0.49,0.62,0.79,0.35,0.57,0.46,0.53
d_1,1.31,1.48,0.39,1.32,1.33,1.25,0.82,0.44,0.56,1.14,0.51,0.58,0.48,0.61,0.52,0.39
c_1,1.06,1.3,1.54,0.38,1.56,1.28,0.66,0.84,0.95,0.36,0.62,0.54,0.47,0.57,0.56,0.49
b_1,1.16,1.16,1.51,0.79,0.37,1.9,0.76,0.8,0.84,0.7,1.1,0.63,0.69,0.6,0.57,0.45
a_1,1.43,1.42,1.09,1.33,0.79,0.31,0.77,0.71,0.65,0.68,0.77,0.64,0.65,1.52,0.67,0.58
h_1,0.97,1.07,0.88,0.99,1.03,0.73,0.25,0.61,0.42,0.4,0.43,0.5,0.69,0.47,0.36,0.47
g_1,0.91,1.04,1.0,0.82,1.03,1.03,0.42,0.24,0.44,0.43,0.46,0.66,0.31,0.4,0.47,0.5
c_0,1.07,1.15,0.59,2.05,0.84,0.98,0.53,0.55,0.27,0.58,0.5,0.43,0.46,0.42,0.46,0.36
d_0,0.63,1.14,1.66,1.07,0.82,1.02,0.61,0.56,0.43,0.28,0.4,0.42,0.42,0.44,0.4,0.45
b_0,0.96,1.04,0.92,1.01,1.67,0.67,0.56,0.47,0.28,0.49,0.25,0.44,0.33,0.52,0.4,0.32
f_0,0.89,2.0,0.91,1.05,0.96,0.87,0.47,0.28,0.36,0.42,0.44,0.24,0.42,0.49,0.63,0.3
h_0,0.9,1.11,0.93,0.97,0.97,0.85,0.75,0.58,0.38,0.39,0.5,0.38,0.52,0.46,0.4,0.36
a_0,0.94,1.07,0.79,1.24,1.04,,0.46,0.74,0.39,0.57,0.24,0.4,0.28,0.22,0.52,0.37
e_0,1.64,1.41,1.0,0.8,0.8,0.87,0.62,0.51,0.43,0.42,0.56,0.27,0.34,0.48,0.21,0.3
g_0,0.81,1.09,0.87,1.03,1.13,1.01,0.37,0.84,0.43,0.42,0.45,0.42,0.29,0.37,0.47,0.54
