,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,0.94,0.99,0.93,0.98,0.65,0.69,0.98,0.52,0.6,0.59,0.61,0.5,,0.62
f_1,1.25,1.0,1.17,0.99,0.98,0.86,0.6,0.66,0.74,0.72,0.72,,0.44,0.5,0.44,0.48
c_1,1.06,0.86,1.0,1.06,1.15,0.79,0.98,0.68,0.51,0.7,,0.8,0.57,0.58,0.52,0.61
d_1,1.01,1.01,0.95,1.0,1.23,0.98,0.68,0.6,,0.78,1.12,0.57,,0.53,0.76,0.33
b_1,1.08,1.02,0.87,0.82,1.0,1.25,0.68,0.84,0.62,,0.86,0.47,0.66,0.62,0.58,0.93
a_1,1.02,1.16,1.26,1.02,0.8,1.0,0.98,0.77,0.8,0.78,0.73,0.79,,0.69,,0.57
h_1,1.54,1.67,1.02,1.47,1.48,1.02,1.0,1.1,1.0,0.71,0.75,0.9,0.91,,0.94,1.03
g_1,1.45,1.51,1.47,1.66,1.2,1.3,0.91,1.0,0.87,1.24,0.96,1.2,,0.81,0.89,
d_0,1.02,1.36,1.98,,1.62,1.24,1.0,1.14,1.0,1.36,0.8,0.83,0.74,1.0,1.14,0.91
b_0,1.92,1.39,1.44,1.29,,1.28,1.42,0.8,0.74,1.0,0.82,1.06,1.49,0.91,0.82,0.83
c_0,1.68,1.39,,0.89,1.16,1.37,1.34,1.05,1.25,1.22,1.0,0.92,0.91,1.01,1.22,0.81
f_0,1.69,,1.24,1.75,2.12,1.26,1.12,0.83,1.21,0.94,1.08,1.0,0.91,1.06,0.99,0.83
a_0,1.65,2.28,1.75,,1.51,,1.1,,1.36,0.67,1.1,1.1,1.0,1.08,,0.87
h_0,2.01,2.0,1.73,1.9,1.63,1.45,,1.24,1.0,1.1,0.99,0.94,0.93,,0.73,1.03
e_0,,2.28,1.93,1.32,1.72,,1.07,1.13,0.88,1.22,0.82,1.01,,1.38,1.0,1.02
g_0,1.62,2.08,1.64,3.08,1.07,1.76,0.97,,1.09,1.21,1.24,1.21,1.15,0.97,0.98,
