,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,0.68,1.05,0.65,0.59,0.5,0.65,0.66,0.73,0.74,0.63,0.42,0.74,0.58,0.54,0.65
d_1,0.76,1.52,0.7,0.63,0.59,0.53,0.8,0.67,1.25,0.51,1.0,0.7,0.87,0.75,0.71,0.66
e_1,0.73,0.6,1.53,0.76,0.63,0.53,0.8,0.79,0.83,1.32,0.91,0.81,0.95,0.7,0.54,1.04
c_1,0.73,0.67,0.61,1.57,1.11,0.57,0.68,0.69,0.46,0.69,0.67,0.81,0.87,0.64,0.68,0.93
b_1,0.75,0.79,0.69,0.57,1.62,0.99,0.91,0.65,0.84,0.96,0.37,0.84,0.86,0.77,0.69,0.86
a_1,0.81,0.87,0.75,0.76,0.52,1.75,0.86,0.95,0.84,0.77,0.94,0.94,1.17,0.56,0.77,0.81
h_1,1.23,0.97,0.8,1.03,0.68,0.63,1.75,1.23,0.92,0.92,0.85,0.91,0.92,0.78,0.89,1.27
g_1,0.89,1.33,0.79,1.01,0.84,0.63,1.04,1.81,0.93,0.86,0.91,1.32,1.03,1.06,0.88,0.79
c_0,1.16,0.9,0.87,0.8,0.71,0.8,1.11,1.09,1.63,1.06,1.78,1.04,1.3,1.12,0.97,1.16
d_0,1.05,0.66,0.81,1.6,0.81,0.74,1.1,1.03,0.76,1.61,1.01,1.14,1.16,0.85,0.9,1.07
b_0,1.14,0.89,0.97,1.02,0.8,0.7,1.26,1.19,0.95,1.09,1.64,1.0,1.29,1.62,0.97,1.1
f_0,0.82,1.19,0.83,1.07,0.86,0.74,1.32,0.99,1.18,0.93,1.21,1.68,1.49,1.1,1.69,1.05
h_0,1.36,1.07,0.87,0.94,0.96,0.71,0.85,1.34,1.01,1.08,1.17,0.99,1.02,0.92,1.0,1.41
a_0,1.18,0.95,1.03,1.03,0.91,0.45,1.36,0.97,1.17,1.18,0.94,1.17,1.47,1.74,1.18,1.25
e_0,1.23,1.11,0.6,1.11,1.04,0.73,1.29,1.13,1.2,1.12,1.25,1.04,1.29,0.86,1.79,1.14
g_0,1.07,1.65,0.73,0.9,0.88,0.8,1.16,0.81,1.31,0.97,1.14,1.59,1.2,1.07,1.09,0.92
