,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.1,0.81,0.84,0.71,0.78,0.54,0.88,0.62,0.68,0.61,0.56,0.64,0.55,0.46
e_1,0.88,1.0,0.75,0.99,0.97,0.9,0.78,0.7,0.64,0.97,0.61,0.72,0.63,0.69,0.64,0.64
f_1,0.91,1.33,1.0,1.05,0.91,0.75,0.56,0.85,0.62,0.57,0.63,0.64,0.51,0.5,0.5,0.47
c_1,1.23,1.01,0.95,1.0,1.41,0.88,0.81,0.6,0.51,0.49,0.61,0.7,0.6,0.43,0.41,0.69
b_1,1.19,1.03,1.1,0.71,1.0,1.58,0.77,0.7,0.75,0.62,0.97,0.65,0.47,0.54,0.76,0.67
a_1,1.41,1.12,1.33,1.13,0.63,1.0,0.77,0.88,0.73,0.87,0.87,0.77,1.08,0.79,0.76,0.65
h_1,1.28,1.28,1.82,1.25,1.27,1.26,1.0,1.24,0.97,0.95,0.87,0.81,0.8,0.68,0.83,0.93
g_1,1.85,1.41,1.18,1.72,1.41,1.12,0.83,1.0,0.92,0.77,1.0,0.99,0.83,1.03,0.99,0.91
c_0,1.14,1.62,1.56,2.19,1.39,1.32,1.04,1.08,1.0,1.13,1.23,0.95,1.0,0.85,0.95,0.92
d_0,1.42,1.01,1.78,2.11,1.54,1.19,1.07,1.33,0.89,1.0,0.95,1.04,0.97,0.92,0.91,0.94
b_0,1.5,1.58,1.62,1.61,1.13,1.17,1.11,1.02,0.76,1.09,1.0,0.93,1.14,1.4,0.91,1.13
f_0,1.56,1.27,1.5,1.54,1.59,1.38,1.21,1.03,1.1,0.97,1.08,1.0,1.21,0.95,1.43,0.72
h_0,1.84,1.49,1.98,1.7,2.02,0.88,1.16,1.22,0.98,1.02,0.9,0.86,1.0,0.95,0.83,1.12
a_0,1.61,1.39,2.12,2.24,1.84,1.18,1.52,1.01,1.17,1.22,0.73,1.12,1.03,1.0,0.99,0.97
e_0,1.81,1.53,2.01,2.27,1.34,1.35,1.2,1.03,1.1,1.07,1.16,0.71,1.25,0.99,1.0,1.09
g_0,2.19,1.5,2.04,1.53,1.49,1.34,1.1,1.11,1.1,1.07,0.87,1.46,0.9,0.98,0.93,1.0
