,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,96.67,58.58,35.61,42.17,77.33,331.23,4297.34,10762.78,10428.67,12568.36,24211.9,10639.24,60902.86,64008.59,98296.45,75403.16
e_1,27.76,112.25,31.78,49.6,75.15,188.81,4671.21,12234.59,10575.08,22267.26,21038.73,28138.01,66173.97,64882.96,91951.65,60366.3
d_1,30.3,34.32,118.35,41.22,83.71,209.54,4842.51,17259.84,9208.23,5676.16,20916.92,22340.21,53335.67,52208.0,79521.86,107611.81
c_1,29.6,26.88,38.58,133.13,115.22,249.16,4660.86,4445.11,8842.98,10966.96,16698.26,20177.56,55051.13,44323.29,95100.07,86234.88
b_1,22.36,25.28,31.58,32.38,218.15,335.92,3592.06,8931.96,7813.48,10109.42,8515.15,16883.96,45513.94,48290.98,54941.8,61293.33
a_1,12.06,20.91,20.91,24.6,31.62,596.0,2349.38,6464.11,7039.3,8192.98,11214.16,12221.52,31449.17,15453.46,38685.27,46569.51
h_1,12.01,10.86,13.26,12.28,23.97,92.99,2837.75,3297.92,4732.78,3882.13,8181.41,7460.31,12911.45,18119.75,37181.2,30586.57
c_0,8.93,8.34,7.74,9.07,17.83,58.26,1253.94,4692.99,3658.72,4119.99,9611.5,6927.98,15536.62,17307.38,21112.56,25762.63
g_1,7.08,8.18,12.56,10.99,18.49,52.72,821.55,2180.62,5978.17,2402.66,4723.97,7359.34,10627.68,13389.2,10352.68,23312.51
d_0,8.05,6.69,4.51,16.67,17.64,47.74,1249.39,2146.35,3148.62,5362.36,5906.23,5614.83,12417.03,15857.54,25772.4,25659.29
b_0,7.22,7.54,7.4,10.63,8.2,48.08,748.99,1936.47,2674.74,2708.66,8075.7,5864.93,12259.95,26940.5,20240.8,21907.61
f_0,3.81,5.63,8.05,10.24,16.74,55.9,964.98,2265.34,2113.42,2891.41,3986.54,8714.33,11499.74,14794.61,15364.85,34956.68
h_0,6.63,4.99,5.97,6.92,9.33,37.19,322.71,1679.13,2431.06,2143.66,3254.37,3536.88,5859.54,9130.44,14967.26,12367.61
a_0,4.49,4.22,7.7,6.99,9.93,,674.88,1544.53,1472.86,2072.03,2277.19,3725.88,10449.35,17721.8,12339.84,17312.03
g_0,3.33,4.47,7.21,5.6,11.44,30.65,539.58,1520.73,1233.85,1722.64,2664.29,4938.78,7297.52,7425.55,7914.88,12959.97
e_0,4.55,2.31,5.16,6.21,12.13,35.62,517.25,1705.96,1181.96,1766.43,2479.08,2963.96,8015.51,5524.42,10539.94,25453.21
