,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.51,1.58,1.49,1.25,1.46,1.4,2.76,2.76,4.88,3.95,2.81,3.41,4.06,3.32,3.32,4.01
f_1,1.41,2.51,2.21,1.44,1.34,1.52,2.73,2.58,2.69,3.05,3.33,2.21,3.27,3.1,2.51,3.51
e_1,1.29,1.39,2.51,1.89,1.51,1.36,2.89,2.88,3.0,3.11,5.25,3.47,4.2,3.14,2.91,4.09
c_1,1.6,1.45,1.22,2.63,2.51,1.43,2.8,2.89,2.19,2.41,2.71,3.49,3.67,3.16,3.07,3.73
b_1,1.53,1.63,1.43,1.23,2.78,2.55,2.9,2.63,3.09,2.64,2.43,3.16,4.05,2.96,3.21,4.05
a_1,1.55,1.55,1.57,1.63,1.11,3.17,3.16,3.08,3.27,3.97,3.68,3.03,4.66,3.46,3.87,4.08
h_1,1.68,1.93,1.4,1.49,1.5,1.48,4.17,3.62,3.03,3.2,2.83,3.37,3.14,3.4,3.28,5.27
g_1,2.11,1.6,1.29,1.47,1.45,1.43,2.65,4.51,3.52,3.16,2.86,4.71,4.17,3.24,3.84,3.58
c_0,1.46,1.7,1.5,1.59,1.26,1.54,3.1,2.91,4.27,5.73,3.65,3.93,4.76,4.57,3.76,4.77
b_0,1.51,1.71,1.59,1.88,1.34,1.16,3.42,3.17,2.77,4.41,3.81,3.7,4.68,5.35,3.76,4.46
d_0,1.05,1.39,1.35,2.7,1.84,1.29,3.4,3.25,2.62,3.0,4.4,3.83,4.03,3.26,3.81,4.27
f_0,1.68,1.54,1.27,1.77,1.61,1.5,3.02,2.93,3.28,3.82,3.34,4.7,4.63,3.41,6.46,4.06
h_0,1.77,1.85,1.4,1.67,1.43,1.32,3.02,3.8,3.05,3.43,3.44,3.62,3.72,3.34,3.89,5.37
a_0,1.76,1.64,1.52,1.72,1.59,1.22,3.23,3.1,2.98,3.11,3.48,4.04,4.86,5.1,3.36,5.24
e_0,1.64,1.84,1.11,1.88,1.76,1.37,2.93,3.16,3.16,3.72,2.8,2.85,4.77,4.03,5.36,5.11
g_0,2.06,1.51,1.38,1.7,1.55,1.5,2.77,2.59,3.11,3.38,2.98,4.75,3.67,2.93,3.45,3.66
