,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.33,0.44,0.65,0.71,0.52,0.32,0.99,2.37,1.19,0.95,1.03,1.22,1.5,1.73,0.49,1.01
d_1,0.47,2.39,0.56,0.44,0.51,0.41,0.99,0.59,2.32,0.98,1.47,1.29,1.59,1.31,1.35,1.09
f_1,1.01,0.49,2.37,0.64,0.41,0.5,0.88,1.04,1.03,0.78,0.97,0.39,1.62,1.1,0.7,0.86
c_1,0.53,0.49,0.58,2.38,1.06,0.35,1.16,1.0,0.53,0.88,0.79,1.14,1.3,1.17,0.87,0.81
b_1,0.58,0.61,0.63,0.47,2.56,0.85,0.94,1.07,0.98,0.91,0.5,1.02,1.37,1.25,0.73,0.71
a_1,0.65,0.59,0.65,0.57,0.33,3.07,1.2,1.28,1.22,0.98,1.25,1.3,1.31,1.37,0.88,0.53
h_1,0.7,0.7,0.91,0.7,0.6,0.51,3.15,1.3,1.26,1.41,1.35,1.36,1.17,1.95,1.14,1.2
d_0,0.67,0.31,0.78,1.35,0.68,0.5,1.44,2.74,0.87,1.11,1.38,1.2,1.71,1.38,0.97,1.32
c_0,0.71,0.84,0.73,0.5,0.56,0.53,1.19,1.48,2.72,0.98,2.82,1.63,1.7,1.78,1.37,1.36
g_1,0.52,1.16,0.56,0.75,0.64,0.4,1.29,1.31,1.42,3.42,1.45,2.21,1.4,1.23,1.28,1.08
b_0,0.7,0.82,0.82,0.73,0.4,0.44,1.6,1.36,1.63,1.02,3.05,1.53,2.0,1.86,1.11,2.6
f_0,0.65,0.9,0.36,0.74,0.67,0.54,1.48,1.63,1.59,1.12,1.56,2.94,1.88,2.18,2.4,1.28
h_0,0.78,0.75,0.97,0.67,0.51,0.48,0.89,1.54,1.37,1.51,1.28,1.42,1.03,2.17,1.03,0.93
g_0,0.58,1.18,0.56,0.77,0.59,0.5,1.44,1.22,1.48,0.93,1.24,2.23,1.65,1.01,1.15,1.12
e_0,0.35,0.84,0.71,0.75,0.65,0.62,1.61,1.34,1.69,1.12,1.78,1.67,2.41,2.0,3.39,1.25
a_0,0.65,0.78,0.64,0.82,0.69,0.37,1.34,1.56,1.51,1.3,1.67,1.51,2.17,1.69,1.2,3.05
