,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.43,2.45,1.84,2.15,1.89,0.89,0.81,0.65,0.8,0.66,0.73,0.52,0.59,1.11,0.55
f_1,2.42,1.06,2.25,2.29,1.77,1.65,0.64,0.63,0.56,0.98,0.61,0.8,0.38,0.6,0.42,0.5
c_1,1.81,2.29,1.06,2.43,2.56,1.86,0.84,0.44,0.78,0.72,0.53,0.55,0.45,0.53,0.54,0.48
d_1,2.69,1.99,2.16,1.06,2.22,1.68,0.77,0.99,0.74,0.53,0.64,0.63,0.49,0.5,0.53,0.35
b_1,2.76,3.04,1.49,2.18,1.06,3.37,1.01,0.79,1.08,1.04,1.04,0.66,0.6,0.62,0.61,0.5
a_1,2.98,3.67,3.42,3.34,1.62,1.06,1.38,0.99,0.84,1.1,1.1,0.95,0.73,1.05,0.89,0.75
h_1,5.12,6.16,5.92,5.48,4.92,4.06,1.31,1.77,1.62,2.27,1.57,1.46,1.55,1.34,1.3,1.25
d_0,3.88,6.88,7.77,8.8,7.12,5.5,2.49,1.49,1.76,2.35,1.93,1.71,1.62,1.48,1.83,1.8
c_0,6.08,7.0,10.4,4.18,5.21,6.35,2.49,2.44,1.49,2.35,2.1,1.84,1.71,1.99,1.62,1.39
g_1,6.15,6.09,7.39,7.04,5.95,5.61,1.85,2.13,2.03,1.34,1.9,1.87,1.31,1.38,1.57,1.56
b_0,6.71,7.68,10.01,6.32,10.31,5.83,2.83,2.24,1.3,2.54,1.47,2.01,1.54,2.2,1.75,1.61
f_0,6.61,10.99,7.39,7.45,7.54,5.97,3.08,2.24,2.43,1.94,2.31,1.5,1.94,1.95,2.31,1.19
h_0,9.3,10.38,9.82,9.18,8.89,7.92,4.16,2.69,2.39,3.63,2.56,2.67,2.47,1.93,2.17,2.52
a_0,9.06,8.91,9.38,11.9,12.18,11.56,4.25,3.38,2.66,4.39,1.83,3.08,2.41,1.63,2.58,2.05
e_0,9.81,14.3,9.89,10.58,10.36,7.59,3.33,2.86,2.72,3.56,2.98,1.74,2.34,2.71,1.58,1.9
g_0,9.68,9.95,9.8,11.82,10.16,9.21,3.11,2.94,2.85,5.23,2.92,3.12,1.74,2.78,2.86,2.47
