,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,0.94,1.7,1.83,1.84,1.81,0.57,0.54,0.43,0.34,0.36,0.46,0.25,0.37,0.31,0.72
f_1,1.51,0.44,1.49,1.88,1.46,1.77,0.32,0.56,0.36,0.3,0.32,0.75,0.17,0.33,0.22,0.32
d_1,1.94,1.94,0.41,1.88,1.62,1.51,0.53,0.33,0.9,0.38,0.33,0.37,0.24,0.33,0.17,0.35
c_1,1.45,2.0,2.09,0.41,2.1,1.79,0.5,0.51,0.19,0.62,0.33,0.3,0.25,0.32,0.28,0.34
b_1,2.16,2.17,2.31,0.99,0.38,1.99,0.6,0.63,0.39,0.56,1.14,0.43,0.31,0.5,0.37,0.36
a_1,2.77,2.48,2.2,3.11,1.21,0.32,0.95,0.74,0.61,0.55,0.78,0.5,0.38,1.19,0.38,0.46
h_1,2.65,3.1,2.67,2.8,2.9,2.68,0.32,0.72,0.58,0.57,0.49,0.57,0.67,0.57,0.44,0.5
g_1,3.35,3.18,3.07,2.87,3.35,3.32,0.66,0.3,0.78,0.62,0.58,0.57,0.37,0.59,0.62,0.57
d_0,1.75,3.44,4.81,3.11,3.8,3.0,0.88,1.17,0.38,0.63,0.64,0.63,0.54,0.62,0.65,0.51
c_0,3.07,3.87,1.91,5.85,3.11,2.61,1.02,1.23,0.82,0.36,0.73,0.66,0.55,0.67,0.53,0.61
b_0,3.16,3.2,2.85,6.38,6.65,3.44,0.88,0.93,0.7,0.34,0.33,0.62,0.47,0.62,0.37,0.57
f_0,3.31,7.38,3.22,2.98,3.21,2.78,1.11,0.59,0.86,0.81,0.72,0.32,0.5,0.76,0.34,0.62
h_0,4.21,3.86,3.5,4.27,3.94,3.11,1.58,1.15,0.75,0.72,0.85,0.68,1.1,0.69,0.56,0.68
a_0,3.78,4.12,3.79,4.36,5.32,8.04,1.11,1.16,0.86,0.83,0.42,0.89,0.66,0.3,0.56,0.63
g_0,4.09,5.46,4.04,4.94,5.24,3.47,0.93,1.58,1.02,0.77,0.77,0.79,0.4,0.82,0.73,0.7
e_0,6.16,6.53,4.14,4.11,4.71,4.01,1.41,1.06,0.88,0.76,0.98,0.43,0.72,1.06,0.5,0.3
