,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.14,0.92,1.42,1.68,3.88,18.89,19.95,28.52,40.6,35.91,49.47,79.19,91.91,90.64,109.43
f_1,0.88,1.0,1.35,1.6,1.61,2.98,15.57,27.19,25.48,27.24,29.41,46.43,56.36,67.85,126.2,75.75
e_1,1.08,0.74,1.0,1.51,1.7,3.49,20.49,24.49,35.97,31.58,36.98,49.54,65.95,72.18,93.44,91.79
c_1,0.7,0.62,0.66,1.0,1.54,2.29,14.11,17.12,14.49,14.53,17.73,36.95,57.46,43.98,71.58,81.24
b_1,0.59,0.62,0.59,0.65,1.0,2.77,10.26,14.18,15.4,15.53,20.9,29.38,39.32,57.68,69.94,66.4
a_1,0.26,0.34,0.29,0.44,0.36,1.0,6.85,10.86,8.5,8.33,11.64,14.57,20.36,25.2,36.14,36.56
h_1,0.05,0.06,0.05,0.07,0.1,0.15,1.0,1.82,1.28,1.3,1.62,2.14,4.26,4.42,6.55,5.73
g_1,0.05,0.04,0.04,0.06,0.07,0.09,0.54,1.0,1.1,1.18,1.36,2.21,2.6,3.34,2.59,4.61
d_0,0.03,0.04,0.03,0.07,0.06,0.12,0.76,0.94,1.0,0.89,1.37,1.5,2.87,2.27,3.89,4.71
c_0,0.02,0.04,0.03,0.07,0.07,0.12,0.79,0.83,1.13,1.0,1.62,1.62,2.87,2.87,3.44,4.44
b_0,0.03,0.04,0.03,0.06,0.05,0.08,0.61,0.74,0.75,0.6,1.0,1.24,2.26,2.94,3.15,2.54
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.46,0.45,0.62,0.64,0.79,1.0,1.39,1.83,1.93,4.11
h_0,0.01,0.02,0.01,0.02,0.02,0.05,0.25,0.38,0.35,0.36,0.44,0.67,1.0,1.02,1.77,1.16
a_0,0.01,0.02,0.01,0.02,0.02,,0.22,0.33,0.44,0.37,0.36,0.54,0.96,1.0,1.55,1.41
g_0,0.01,0.01,0.01,0.02,0.01,0.03,0.15,,0.24,0.29,0.31,0.53,0.57,0.71,1.0,1.12
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.21,0.2,0.22,0.43,0.25,0.86,0.71,0.96,1.0
