,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.36,1.17,0.73,0.85,0.71,0.67,1.38,1.39,1.77,1.66,1.45,0.7,1.82,1.2,1.74,1.27
e_1,0.75,2.37,0.73,0.88,0.62,0.63,1.61,1.51,1.64,2.87,1.88,1.89,2.12,1.97,1.93,0.83
d_1,0.83,0.7,2.48,0.67,0.7,0.8,1.6,1.47,2.84,0.86,1.72,1.85,2.28,1.72,1.87,1.65
c_1,0.73,0.71,0.79,2.58,1.33,0.7,1.44,1.49,0.68,1.44,1.45,1.86,2.19,1.84,1.88,1.72
b_1,0.78,0.93,0.89,0.64,2.87,1.28,1.19,1.6,1.24,1.42,0.88,1.57,2.13,1.55,2.34,1.56
a_1,0.66,0.85,0.95,0.71,0.68,3.36,1.53,1.07,1.38,1.54,1.99,1.71,2.62,1.24,2.33,2.09
h_1,1.26,0.86,0.94,1.0,1.08,0.97,3.81,2.47,2.0,2.3,2.28,2.26,1.91,1.79,3.41,2.21
g_1,1.11,0.85,1.3,1.04,0.9,1.06,1.76,4.3,1.92,1.79,2.46,2.5,2.3,2.29,1.32,2.69
c_0,1.07,1.06,0.9,0.71,1.09,1.21,2.5,2.15,3.77,1.73,3.85,2.56,2.77,2.06,3.31,2.77
d_0,0.97,0.82,0.51,1.86,0.99,1.11,2.01,1.89,2.29,3.69,2.07,2.29,2.43,1.83,2.92,2.4
b_0,1.22,0.97,1.03,1.16,0.7,0.67,2.29,2.03,1.87,2.45,3.99,2.04,2.72,4.66,3.4,2.22
f_0,0.74,0.82,1.11,0.98,1.23,1.08,2.13,2.17,2.46,2.47,2.58,4.15,2.9,2.41,2.5,4.49
h_0,1.5,0.92,1.09,0.99,0.87,0.9,1.2,2.13,2.22,2.28,2.42,2.25,1.5,2.42,3.9,2.33
a_0,1.31,0.76,1.07,1.07,1.11,,2.5,2.0,2.26,2.63,1.54,2.43,2.92,4.71,3.19,3.09
g_0,0.93,0.85,1.53,1.13,0.78,1.13,1.66,1.42,2.12,2.01,2.25,3.15,2.32,2.32,1.81,2.08
e_0,1.2,0.7,0.91,1.06,1.29,1.1,1.91,1.85,2.2,2.38,2.53,2.01,3.22,2.51,3.31,5.1
