,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,12433.85,2843.88,3643.17,2985.65,7824.79,25343.4,4208810.75,3312603.28,8379913.53,20661414.26,24060169.07,23944406.26,81585698.07,103027600.16,108210629.94,154514293.82
e_1,2229.36,13631.0,3296.95,4853.07,7465.23,26348.88,3820706.55,17811877.92,8621938.73,10069211.6,20175800.85,24543376.01,87122385.78,95808280.63,49914108.64,126831417.79
f_1,2793.73,5160.76,15232.61,3796.76,5925.0,23126.92,3671092.59,8269891.06,8928313.44,11242481.74,7372619.84,19698564.45,63459117.84,81594193.3,63694366.74,101033881.52
c_1,2583.33,2905.69,3339.1,18969.39,14339.32,17783.11,3457051.79,9303632.85,7113931.98,3791425.88,19865688.74,14386987.13,86594139.04,73694784.5,81881863.03,158614885.78
b_1,2771.27,2499.62,2830.85,4005.54,47977.79,48026.3,4135936.54,8003467.69,7438417.97,10101791.32,19079019.6,7963965.44,66334631.35,54801441.23,107642738.33,157527032.01
a_1,2874.65,2892.4,2445.5,3569.77,9204.16,193110.35,4314846.61,11498773.13,9804389.33,12616836.23,26310234.29,23056231.19,86802523.48,34266446.24,130871041.9,131496042.02
h_1,3613.94,2708.73,6017.69,5149.45,8402.35,21551.05,13773061.24,10499393.7,14715230.42,12510715.52,20675111.63,24557768.43,53367186.0,107521786.65,117077836.35,207560821.72
d_0,1983.25,3359.83,3770.59,9677.66,11225.53,32200.77,4742567.47,21570721.93,8380023.08,9214110.44,24095737.71,23921834.87,93294904.96,76841587.35,103369667.83,158438111.68
g_1,5081.9,3084.93,3281.49,4068.97,9062.7,26566.62,3352708.49,11386486.67,36634664.56,11949051.14,38697892.23,27436236.15,108257594.44,116052307.48,139619650.64,81254473.37
c_0,3507.27,3393.46,4946.93,2810.7,7373.04,26432.41,5912442.01,12712434.09,9947054.66,30049492.11,27062816.55,60240319.47,110546183.34,128143388.14,143596236.88,224799110.89
f_0,3707.4,2889.41,2491.75,5583.53,10682.75,29972.93,4895143.2,12611184.61,13192801.92,11995278.96,57032373.08,29434290.56,115285715.8,120042356.69,264911759.71,167586861.05
b_0,3872.1,3388.79,5313.4,5336.34,3501.86,18491.53,4724816.29,12459030.09,10357976.27,12000315.13,27708957.35,59761411.1,116523129.56,225328676.19,138087575.83,155558246.95
h_0,4107.22,3275.34,6059.56,4418.34,8857.66,25376.68,2705888.13,11151113.81,12346931.82,12204080.34,25656981.0,27063798.55,61937059.92,89511221.86,121396215.34,207665176.08
a_0,4080.32,3297.46,4670.59,4378.6,7944.13,11633.64,5962439.27,12010253.94,8214346.91,15329390.58,32397120.5,23884712.55,110569998.48,309141105.7,151754657.28,182529513.11
e_0,4497.67,1400.1,4370.23,5406.94,8474.21,29133.75,5954125.27,12245446.71,10544756.91,13651663.89,27659477.07,26902633.08,118920264.52,123735682.14,361870805.31,200766661.0
g_0,5578.52,2895.24,3855.12,4034.35,9086.36,26988.95,4879253.24,8812405.35,7472004.91,13722951.96,43330773.48,31613784.43,113379337.55,113840989.14,122892050.71,133702471.21
