,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,5.88,5.0,6.18,5.6,5.24,1.74,2.33,3.1,2.11,1.78,,1.35,1.76,1.56,2.45
e_1,4.45,0.67,5.25,5.32,5.08,5.24,2.24,3.3,2.09,2.07,1.7,2.37,1.59,1.71,2.21,
d_1,6.45,7.45,0.66,5.22,6.39,4.84,2.65,,1.56,2.77,1.68,1.91,1.28,2.73,1.19,2.29
c_1,5.28,6.84,8.02,0.65,6.19,5.53,2.29,1.2,3.79,,2.15,2.07,2.06,2.35,1.4,1.73
b_1,6.74,6.98,6.23,3.88,0.63,9.95,2.93,2.38,2.67,2.57,,2.23,1.46,1.79,1.75,1.55
a_1,8.58,7.59,8.32,8.7,3.57,0.57,,2.36,,1.85,3.17,2.5,2.56,,1.67,
h_1,5.42,5.9,4.69,5.84,4.77,,0.61,1.57,2.42,1.96,1.82,1.42,,1.67,1.37,1.95
d_0,4.38,2.5,,6.16,3.8,4.15,2.31,0.7,2.99,1.82,1.85,2.25,1.24,1.39,1.88,1.81
g_1,4.87,6.26,7.66,4.55,5.42,,1.9,1.89,0.57,1.76,2.31,2.5,1.54,1.94,,1.9
c_0,5.15,5.29,2.67,,4.75,6.03,2.81,1.95,1.98,0.68,1.96,1.64,1.65,1.7,1.63,1.43
b_0,6.67,5.52,4.69,6.23,,4.21,2.25,1.98,2.01,1.27,0.7,1.35,1.47,2.13,1.1,1.38
f_0,,5.65,6.96,4.0,5.94,4.98,2.5,1.59,1.37,1.76,2.33,0.67,1.69,1.78,1.05,1.99
h_0,4.26,4.27,5.3,4.78,5.85,3.44,,2.07,1.8,1.63,1.59,1.58,,1.53,1.2,1.4
a_0,5.77,9.32,4.83,4.92,7.93,,2.78,2.91,2.56,2.21,1.19,2.14,1.79,0.62,2.19,
g_0,5.16,4.0,5.72,5.53,4.89,5.34,1.93,1.65,,1.7,2.67,2.48,1.24,1.4,,
e_0,6.68,,6.45,6.34,7.22,,2.2,1.74,2.91,2.95,2.26,1.36,1.64,,,0.6
