,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.45,0.86,0.87,0.84,0.84,0.2,0.15,0.25,0.15,0.14,0.19,0.17,0.18,0.41,0.14
f_1,0.61,0.17,0.68,0.9,0.89,0.79,0.15,0.15,0.27,0.14,0.13,0.31,0.08,0.14,0.12,0.14
d_1,1.08,0.84,0.15,0.68,0.67,0.66,0.22,0.5,0.16,0.15,0.17,0.13,0.12,0.13,0.15,0.07
c_1,0.65,0.76,1.07,0.15,0.76,0.73,0.26,0.09,0.22,0.34,0.15,0.14,0.11,0.16,0.15,0.09
b_1,0.88,0.91,0.63,0.49,0.13,0.75,0.29,0.19,0.17,0.18,0.41,0.16,0.1,0.21,0.17,0.13
a_1,0.79,0.78,0.79,0.93,0.43,0.09,0.28,0.19,0.23,0.2,0.21,0.2,0.15,0.4,0.16,0.13
h_1,0.58,0.74,0.59,0.63,0.65,0.6,0.06,0.13,0.18,0.12,0.13,0.1,0.15,0.1,0.09,0.08
d_0,0.35,0.59,1.18,0.66,0.66,0.6,0.19,0.07,0.19,0.15,0.13,0.15,0.09,0.13,0.12,0.11
g_1,0.64,0.63,0.61,0.63,0.69,0.52,0.15,0.14,0.05,0.13,0.14,0.14,0.07,0.12,0.11,0.26
c_0,0.71,0.63,0.32,1.32,0.66,0.69,0.2,0.18,0.21,0.06,0.14,0.14,0.08,0.14,0.13,0.08
b_0,0.57,0.67,0.53,0.74,1.27,0.53,0.17,0.13,0.18,0.07,0.06,0.1,0.07,0.12,0.12,0.08
f_0,0.66,1.41,0.56,0.52,0.65,0.56,0.17,0.13,0.11,0.11,0.11,0.05,0.08,0.13,0.15,0.05
h_0,0.69,0.62,0.49,0.5,0.65,0.56,0.3,0.13,0.16,0.13,0.1,0.13,0.14,0.1,0.1,0.1
a_0,0.54,0.68,0.6,0.66,0.67,1.15,0.16,0.16,0.17,0.12,0.06,0.1,0.09,0.04,0.1,0.11
e_0,0.87,0.8,0.5,0.61,0.61,0.66,0.18,0.14,0.18,0.12,0.13,0.06,0.08,0.11,0.04,0.09
g_0,0.56,0.72,0.63,0.66,0.57,0.57,0.13,0.11,0.32,0.13,0.12,0.12,0.07,0.13,0.11,0.13
