,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.94,0.66,0.47,0.35,0.31,0.23,0.26,0.23,0.19,0.23,0.2,0.12,0.18,0.12,0.17,0.14
e_1,0.47,0.94,0.43,0.31,0.35,0.26,0.29,0.49,0.29,0.25,0.27,0.26,0.24,0.14,0.23,0.19
c_1,0.42,0.44,0.94,0.43,0.62,0.28,0.28,0.22,0.24,0.11,0.17,0.2,0.19,0.15,0.15,0.2
d_1,0.53,0.53,0.35,0.94,0.34,0.24,0.35,0.18,0.22,0.44,0.27,0.22,0.26,0.22,0.19,0.2
b_1,0.47,0.46,0.36,0.44,0.94,0.58,0.26,0.31,0.21,0.27,0.13,0.27,0.26,0.21,0.15,0.2
a_1,0.63,0.51,0.49,0.53,0.3,0.94,0.35,0.37,0.27,0.26,0.3,0.26,0.29,0.24,0.15,0.23
h_1,0.92,0.65,0.64,0.57,0.6,0.39,0.75,0.39,0.46,0.4,0.33,0.32,0.24,0.32,0.23,0.34
d_0,0.84,0.54,1.23,0.46,0.62,0.36,0.53,0.66,0.45,0.34,0.37,0.32,0.4,0.35,0.31,0.36
g_1,0.78,0.57,0.67,0.95,0.64,0.49,0.45,0.43,0.75,0.46,0.41,0.46,0.34,0.34,0.27,0.27
c_0,0.93,0.8,0.72,0.64,0.44,0.46,0.49,0.51,0.42,0.65,0.75,0.47,0.39,0.31,0.35,0.32
b_0,0.99,0.79,0.85,0.68,0.63,0.39,0.6,0.5,0.45,0.36,0.65,0.42,0.37,0.32,0.53,0.37
f_0,0.63,0.67,0.88,0.74,0.68,0.55,0.58,0.58,0.44,0.4,0.41,0.66,0.43,0.53,0.28,0.36
h_0,1.07,0.83,0.85,0.69,0.68,0.54,0.41,0.51,0.58,0.53,0.44,0.39,0.35,0.4,0.3,0.54
e_0,1.11,0.44,1.15,0.67,0.78,0.6,0.62,0.47,0.45,0.53,0.45,0.44,0.46,0.62,0.28,0.42
a_0,0.93,0.81,1.04,0.69,0.76,0.39,0.62,0.58,0.53,0.5,0.38,0.45,0.49,0.43,0.62,0.48
g_0,0.87,0.79,0.93,1.1,0.79,0.5,0.58,0.52,0.38,0.51,0.42,0.65,0.37,0.4,0.29,0.31
