,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.68,1.12,1.28,1.26,1.3,0.38,0.3,0.27,0.33,0.23,0.31,0.18,0.25,0.19,0.34
f_1,1.03,0.42,1.07,1.2,1.34,1.14,0.26,0.26,0.24,0.34,0.24,0.32,0.13,0.25,0.22,0.22
d_1,1.3,1.17,0.41,1.37,1.09,1.12,0.27,0.37,0.23,0.23,0.25,0.24,0.16,0.23,0.1,0.19
c_1,0.99,1.36,1.41,0.4,1.16,1.04,0.38,0.16,0.37,0.37,0.27,0.26,0.19,0.25,0.18,0.25
b_1,1.36,1.44,1.47,0.73,0.39,1.21,0.4,0.26,0.33,0.45,0.43,0.26,0.2,0.31,0.18,0.26
a_1,1.6,2.1,1.62,1.52,0.78,0.33,0.56,0.39,0.35,0.6,0.48,0.28,0.26,0.56,0.33,0.29
h_1,2.25,2.12,2.06,2.33,2.09,1.6,0.3,0.51,0.41,0.57,0.43,0.37,0.44,0.37,0.32,0.32
d_0,1.48,2.17,4.17,2.28,2.45,2.16,0.71,0.34,0.53,0.64,0.55,0.49,0.36,0.48,0.42,0.54
c_0,2.42,2.49,1.39,3.76,2.51,2.12,0.66,0.76,0.33,0.66,0.46,0.52,0.34,0.52,0.31,0.44
g_1,2.29,2.11,2.63,2.7,2.58,2.19,0.48,0.46,0.49,0.28,0.43,0.5,0.25,0.4,0.41,0.38
b_0,2.54,2.33,1.95,3.54,3.43,2.19,0.69,0.57,0.29,0.64,0.31,0.47,0.41,0.54,0.33,0.53
f_0,3.02,4.13,2.52,2.7,2.99,2.22,0.86,0.58,0.54,0.48,0.58,0.29,0.38,0.57,0.26,0.5
h_0,2.87,2.9,3.0,2.73,3.23,2.5,1.32,0.65,0.7,0.98,0.57,0.6,0.54,0.53,0.47,0.55
a_0,3.2,3.29,2.84,3.56,3.5,3.07,0.8,0.82,0.48,0.85,0.33,0.51,0.42,0.27,0.44,0.51
g_0,3.54,3.39,3.02,3.18,3.28,3.22,0.74,0.76,0.67,1.18,0.73,0.61,0.37,0.53,0.65,0.54
e_0,4.74,4.51,3.45,2.8,3.21,2.75,0.93,0.61,0.6,0.71,0.76,0.32,0.56,0.72,0.49,0.29
