,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.66,0.88,1.44,1.85,1.51,1.36,0.62,0.76,0.63,0.53,0.62,0.51,0.4,0.82,0.53,0.54
f_1,1.65,0.65,1.2,1.37,1.34,1.2,0.54,0.77,0.52,0.5,0.83,0.52,0.35,0.47,0.4,0.43
d_1,1.57,1.56,0.65,1.47,1.29,1.27,0.64,0.44,1.05,0.52,0.49,0.56,0.43,0.51,0.33,0.48
c_1,1.21,1.67,1.73,0.65,1.64,1.41,0.64,0.56,0.32,0.57,0.46,0.46,0.41,0.43,0.41,0.43
b_1,1.39,1.6,1.66,1.01,0.63,1.67,0.74,0.72,0.57,0.66,0.49,0.76,0.56,0.55,0.49,0.66
a_1,1.93,2.26,1.88,1.63,1.08,0.58,0.8,1.0,0.68,0.75,0.68,0.66,0.58,0.55,0.48,0.77
h_1,2.15,2.24,2.06,2.14,2.29,1.77,0.58,0.99,0.79,0.76,0.78,0.82,0.89,0.61,0.64,0.66
g_1,2.34,2.43,2.44,2.47,2.36,1.82,0.89,0.56,0.79,0.75,1.0,0.86,0.54,0.77,0.76,0.64
d_0,1.55,2.85,2.97,2.74,2.32,2.22,1.23,1.14,0.63,0.81,0.92,0.86,0.72,0.83,0.77,0.87
c_0,2.43,2.53,1.61,4.57,2.45,1.88,1.05,1.26,1.07,0.62,1.0,1.04,0.78,0.89,0.73,0.85
f_0,2.07,3.81,2.42,2.44,3.03,1.92,1.17,0.73,0.86,0.76,0.6,0.83,0.71,1.11,0.48,0.86
b_0,2.39,2.43,2.05,3.18,4.04,2.41,1.14,1.01,1.13,0.53,0.95,0.6,0.81,0.96,0.78,0.91
h_0,2.65,2.83,3.0,2.76,2.35,2.65,1.6,1.22,0.93,0.89,1.15,0.88,1.01,0.86,0.95,0.82
e_0,3.49,3.87,2.78,2.91,2.58,2.92,1.44,1.14,1.23,1.03,0.56,0.91,0.92,0.55,0.74,0.75
g_0,2.77,3.49,2.78,3.27,3.05,2.55,0.99,1.83,1.1,1.03,1.18,0.96,0.68,1.15,1.01,0.97
a_0,2.89,3.08,2.87,3.07,3.41,3.17,1.45,1.48,1.06,0.92,1.01,0.65,0.94,1.1,1.0,0.58
