,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.13,2.7,4.95,5.39,5.49,5.57,1.73,1.59,1.32,0.97,1.09,1.32,0.77,1.09,0.98,2.53
f_1,4.51,1.13,4.37,5.89,4.35,5.39,0.92,1.62,1.09,0.9,0.91,2.72,0.51,0.98,0.64,0.95
d_1,6.04,6.25,1.12,6.13,5.27,4.78,1.7,1.05,3.4,1.19,1.04,1.15,0.76,1.13,0.53,1.11
c_1,4.83,6.55,6.63,1.13,6.68,5.47,1.66,1.6,0.61,2.3,1.04,0.97,0.81,0.97,0.92,1.1
b_1,7.28,7.86,8.36,3.39,1.14,7.05,2.24,2.31,1.35,1.91,4.89,1.5,1.06,1.7,1.27,1.3
a_1,11.7,10.28,8.96,13.0,5.29,1.14,4.11,3.21,2.44,2.4,3.32,2.12,1.67,5.21,1.7,1.94
h_1,16.8,19.58,17.11,17.05,18.8,17.01,1.79,4.52,3.52,3.58,3.03,3.63,5.28,3.76,2.76,2.8
g_1,22.3,21.76,20.32,20.27,23.34,22.07,4.36,1.78,5.6,4.48,3.92,3.83,2.48,4.47,4.51,3.85
d_0,11.88,25.34,38.7,21.34,27.07,21.81,5.92,7.72,2.37,4.21,4.68,4.09,3.98,4.0,4.64,3.47
c_0,22.17,25.17,13.11,47.4,22.01,18.92,7.42,10.14,5.88,2.29,5.93,4.68,3.98,4.58,3.84,4.72
b_0,25.09,24.34,23.22,50.36,66.02,26.49,6.66,7.24,5.3,2.58,2.3,4.76,3.7,5.07,2.81,4.33
f_0,24.93,64.91,23.9,23.36,25.06,21.31,9.1,4.67,6.8,6.6,5.25,2.23,3.67,6.13,2.74,4.51
h_0,38.92,33.04,30.1,34.29,31.85,29.43,15.67,9.86,6.43,6.21,7.43,5.94,9.81,6.13,4.99,5.45
a_0,37.76,41.57,34.59,41.86,45.88,88.29,9.84,10.6,7.38,8.0,3.95,7.56,6.03,2.45,5.06,6.58
g_0,40.57,51.39,41.68,48.83,50.13,38.62,9.61,16.51,9.51,7.9,7.53,7.46,3.8,8.84,7.26,6.08
e_0,68.11,62.71,48.52,39.79,46.67,45.22,15.67,12.03,9.51,7.62,10.13,4.49,7.54,11.18,4.77,2.7
