,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.38,1.32,1.17,1.23,1.1,0.49,0.62,0.52,0.41,0.43,0.65,0.29,0.42,0.36,0.39
e_1,0.9,0.66,1.64,1.3,1.36,1.02,0.62,0.83,0.57,0.5,0.47,0.6,0.39,0.43,0.64,0.41
c_1,1.38,1.07,0.65,1.6,1.43,1.31,0.58,0.57,0.31,0.53,0.44,0.41,0.38,0.46,0.47,0.36
d_1,1.38,1.55,1.16,0.64,1.4,1.01,0.58,0.41,0.67,0.53,0.53,0.5,0.42,0.49,0.53,0.28
b_1,1.55,1.41,0.93,1.31,0.63,1.77,0.68,0.63,0.59,0.7,0.77,0.53,0.45,0.44,0.49,0.46
a_1,2.04,1.92,1.64,1.77,0.92,0.57,0.93,0.72,0.56,0.54,0.71,0.52,0.52,0.7,0.48,0.45
h_1,2.23,1.95,2.07,1.95,1.74,1.51,0.57,0.94,0.72,0.67,0.77,0.6,0.88,0.65,0.59,0.72
g_1,2.38,1.88,2.14,2.36,2.1,1.98,0.81,0.54,0.82,0.85,0.76,0.87,0.53,0.98,0.7,0.65
d_0,2.28,1.36,2.78,3.08,2.05,2.17,1.02,1.05,0.63,0.74,0.83,0.71,0.73,0.89,0.71,0.74
c_0,2.37,2.27,3.64,1.39,2.04,2.04,1.1,0.96,1.07,0.62,0.93,0.78,0.77,0.9,0.89,0.65
b_0,2.32,2.19,2.94,1.78,3.46,1.99,1.04,0.95,0.82,0.5,0.59,0.95,0.71,0.92,0.85,0.77
f_0,3.22,2.12,2.7,2.3,2.2,2.23,1.1,0.7,0.86,0.88,0.89,0.57,0.72,0.84,0.91,0.52
h_0,2.88,2.67,2.32,2.38,2.67,2.42,1.33,1.2,0.85,0.85,0.76,0.87,0.89,0.74,0.64,0.74
a_0,2.85,2.74,2.74,2.23,2.63,3.06,1.21,0.95,0.97,0.81,0.57,1.16,0.77,0.57,0.81,0.72
e_0,3.76,3.54,2.65,2.44,2.42,2.6,1.26,0.95,0.99,0.84,0.9,0.55,1.06,1.27,0.54,0.7
g_0,2.63,2.65,2.92,2.89,2.54,3.51,0.89,1.41,0.87,0.96,0.87,0.99,0.62,0.97,0.85,0.98
