,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.6,0.7,0.58,0.66,0.64,0.15,0.23,0.16,0.11,0.12,0.27,0.07,0.12,0.12,0.1
e_1,0.38,0.17,0.84,0.7,0.72,0.55,0.2,0.3,0.14,0.14,0.13,0.19,0.1,0.12,0.27,0.1
c_1,0.69,0.53,0.15,0.81,0.61,0.71,0.18,0.18,0.07,0.22,0.13,0.11,0.09,0.14,0.14,0.09
d_1,0.65,0.81,0.58,0.15,0.7,0.5,0.17,0.12,0.27,0.12,0.14,0.14,0.1,0.14,0.16,0.06
b_1,0.74,0.68,0.37,0.61,0.13,0.78,0.2,0.19,0.16,0.2,0.33,0.14,0.11,0.12,0.13,0.11
a_1,0.87,0.76,0.68,0.68,0.33,0.09,0.25,0.19,0.13,0.12,0.17,0.11,0.11,0.23,0.11,0.1
h_1,0.57,0.53,0.56,0.51,0.46,0.44,0.06,0.15,0.11,0.1,0.12,0.09,0.16,0.1,0.09,0.09
g_1,0.61,0.51,0.51,0.5,0.53,0.52,0.12,0.05,0.12,0.12,0.1,0.11,0.06,0.15,0.09,0.09
d_0,0.56,0.28,0.58,1.02,0.5,0.57,0.16,0.17,0.06,0.11,0.11,0.09,0.09,0.14,0.1,0.09
c_0,0.52,0.55,1.18,0.27,0.53,0.48,0.16,0.16,0.15,0.06,0.1,0.1,0.09,0.12,0.12,0.08
b_0,0.5,0.47,0.71,0.37,1.14,0.5,0.15,0.13,0.11,0.05,0.05,0.13,0.08,0.1,0.11,0.09
f_0,0.88,0.5,0.58,0.5,0.49,0.5,0.14,0.08,0.1,0.11,0.12,0.05,0.07,0.12,0.09,0.05
h_0,0.54,0.56,0.46,0.47,0.59,0.56,0.22,0.15,0.1,0.1,0.08,0.1,0.11,0.08,0.08,0.07
a_0,0.56,0.54,0.54,0.42,0.53,0.77,0.15,0.13,0.12,0.09,0.05,0.15,0.07,0.04,0.11,0.07
e_0,0.76,0.92,0.5,0.47,0.46,0.51,0.15,0.1,0.1,0.09,0.1,0.05,0.1,0.16,0.04,0.06
g_0,0.51,0.52,0.56,0.49,0.51,0.81,0.1,0.19,0.09,0.1,0.1,0.09,0.05,0.11,0.09,0.12
