,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,1.16,0.99,1.65,2.61,19.41,36.59,29.07,28.53,39.7,43.46,70.69,97.69,126.53,108.76
f_1,1.18,1.0,1.17,1.14,1.12,2.11,12.58,21.53,23.45,30.71,34.17,37.26,61.78,91.95,61.78,91.75
c_1,0.87,0.86,1.0,1.05,2.04,2.36,15.48,17.97,16.6,26.3,26.3,35.06,71.36,82.18,85.94,100.73
d_1,1.01,0.87,0.96,1.0,1.67,2.16,14.64,21.6,33.33,20.7,36.13,37.84,68.55,67.18,78.86,68.73
b_1,0.6,0.9,0.49,0.6,1.0,2.94,11.25,17.26,22.14,20.1,24.94,26.23,50.23,54.71,50.48,57.52
a_1,0.38,0.47,0.42,0.46,0.34,1.0,7.92,10.2,8.32,9.96,17.12,15.48,28.29,28.16,42.45,37.02
h_1,0.05,0.08,0.06,0.07,0.09,0.12,1.0,1.43,1.41,1.81,2.17,2.31,4.69,4.59,5.54,6.81
d_0,0.03,0.05,0.06,0.04,0.06,0.1,0.69,1.0,0.9,0.89,1.52,1.65,3.57,3.22,3.37,4.82
c_0,0.04,0.04,0.07,0.03,0.04,0.12,0.71,1.09,1.0,1.04,1.81,1.61,3.42,4.38,3.63,4.04
g_1,0.03,0.03,0.04,0.05,0.05,0.1,0.55,1.13,0.98,1.0,1.47,1.87,2.66,2.83,3.09,3.74
b_0,0.02,0.03,0.04,0.03,0.04,0.06,0.44,0.71,0.53,0.67,1.0,0.95,1.93,3.21,2.54,2.45
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.43,0.6,0.61,0.52,1.0,1.0,2.18,2.15,3.0,1.63
h_0,0.01,0.02,0.01,0.01,0.02,0.03,0.21,0.29,0.28,0.37,0.51,0.48,1.0,0.96,1.1,1.51
a_0,0.01,0.01,0.01,0.01,0.02,,0.24,0.29,0.22,0.34,0.31,0.5,1.03,1.0,1.01,1.07
e_0,0.01,0.02,0.01,0.01,0.02,0.02,0.18,0.28,0.27,0.32,0.4,0.34,0.94,1.02,1.0,1.05
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.2,0.24,0.29,0.41,0.58,0.63,0.99,1.01,1.0
