,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.41,1.38,1.24,1.39,1.15,0.48,0.53,0.7,0.46,0.58,1.36,0.41,0.54,0.56,0.51
e_1,0.8,0.41,1.5,1.34,1.4,1.21,0.68,0.71,0.8,0.82,0.59,0.65,0.53,0.54,1.89,0.6
c_1,1.42,1.04,0.4,1.58,1.44,1.33,0.68,0.38,0.69,0.77,0.55,0.51,0.58,0.59,0.58,0.45
d_1,1.31,1.64,1.25,0.39,1.36,1.16,0.65,1.54,0.44,0.7,0.63,0.52,0.42,0.51,0.56,0.36
b_1,1.25,1.23,0.8,1.41,0.37,1.76,0.95,0.57,0.75,0.7,1.58,0.72,0.47,0.72,0.54,0.44
a_1,1.51,1.41,1.08,1.63,0.71,0.3,0.82,0.61,0.91,0.58,0.93,0.59,0.54,1.53,0.6,0.49
h_1,1.13,0.97,0.97,0.88,0.79,1.01,0.25,0.42,0.66,0.4,0.42,0.45,0.6,0.4,0.45,0.46
d_0,1.12,0.59,1.22,1.33,1.0,0.85,0.63,0.28,0.48,0.36,0.44,0.37,0.39,0.47,0.36,0.49
g_1,1.13,0.87,1.04,1.04,1.05,0.77,0.39,0.53,0.23,0.4,0.42,0.46,0.28,0.36,0.39,0.65
c_0,1.33,0.89,2.76,0.54,1.0,0.95,0.58,0.53,0.52,0.25,0.41,0.46,0.4,0.52,0.37,0.43
b_0,0.99,0.91,1.28,0.7,1.69,0.95,0.59,0.4,0.51,0.28,0.23,0.5,0.41,0.56,0.38,0.47
f_0,1.62,0.9,1.09,0.99,0.76,0.83,0.53,0.53,0.34,0.42,0.4,0.23,0.37,0.43,0.54,0.27
h_0,1.04,0.98,1.0,0.9,1.0,0.81,0.87,0.48,0.74,0.35,0.37,0.39,0.6,0.42,0.41,0.36
a_0,1.0,1.12,0.85,0.96,1.06,,0.53,0.42,0.7,0.37,0.24,0.37,0.4,0.21,0.44,0.36
e_0,1.07,1.65,0.85,0.83,0.86,1.2,0.53,0.56,0.48,0.42,0.43,0.24,0.34,0.4,0.21,0.39
g_0,0.97,0.83,0.99,0.99,1.03,0.98,0.42,0.38,0.6,0.43,0.4,0.39,0.3,0.42,0.38,0.52
