,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.82,0.89,1.25,1.06,0.94,1.03,1.1,1.36,0.98,1.19,1.03,1.01,1.08,1.07,1.1
f_1,1.27,1.0,0.92,0.99,0.98,0.81,0.87,1.03,1.04,0.97,0.98,0.97,0.87,0.82,0.97,0.97
d_1,1.1,1.09,1.0,0.89,0.94,0.94,1.0,0.84,1.08,1.19,0.94,1.09,1.0,1.04,0.91,1.02
c_1,0.81,1.01,1.14,1.0,1.23,1.1,0.97,0.96,0.72,0.86,0.93,0.84,1.02,0.94,0.95,0.96
b_1,0.96,1.01,1.05,0.82,1.0,1.35,1.09,1.07,0.96,1.11,0.93,0.97,1.11,1.04,1.09,0.91
a_1,1.06,1.16,1.08,0.91,0.77,1.0,1.14,1.07,1.03,1.1,1.03,1.13,1.07,1.01,1.08,0.98
h_1,0.93,1.14,0.98,1.03,0.92,0.87,1.0,1.11,0.95,0.98,0.96,1.01,0.98,0.87,1.09,0.91
g_1,0.87,1.0,1.14,1.04,0.93,0.92,0.88,1.0,0.84,0.91,1.21,1.01,0.91,0.98,1.03,0.91
d_0,0.75,0.95,0.94,1.35,1.07,0.93,1.05,1.1,1.0,0.8,1.06,0.93,0.98,1.0,1.04,0.96
c_0,1.05,1.01,0.87,1.12,0.92,0.93,1.04,1.05,1.19,1.0,1.11,1.33,1.16,1.04,0.98,1.18
f_0,0.8,1.0,1.07,1.05,1.04,1.02,1.01,0.83,0.92,0.94,1.0,0.96,0.98,1.41,0.85,1.03
b_0,0.95,1.03,0.92,1.18,1.01,0.87,1.01,1.04,1.07,0.74,1.08,1.0,1.08,0.99,1.02,1.34
h_0,0.96,1.14,1.02,1.0,0.92,0.91,1.0,1.13,0.96,0.85,1.03,0.91,1.0,0.95,1.13,0.94
e_0,0.88,1.16,0.95,1.07,0.94,1.0,1.14,0.98,1.02,0.94,0.69,0.97,1.1,1.0,0.96,0.87
g_0,0.92,1.04,1.11,1.06,0.96,0.9,0.91,0.99,0.93,1.03,1.14,1.0,0.89,1.07,1.0,0.94
a_0,0.94,1.02,1.0,1.0,1.1,1.01,1.07,1.09,0.91,0.84,0.9,0.76,1.02,1.07,1.03,1.0
