,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.9,0.07,0.06,0.07,0.09,0.07,0.28,0.27,0.74,0.36,0.31,0.44,0.56,0.21,,0.65
d_1,0.07,6.09,0.07,0.07,0.09,0.07,0.38,0.32,,0.65,0.46,0.43,0.42,0.33,0.39,0.54
f_1,0.12,0.07,6.1,0.09,0.08,0.08,0.28,0.24,0.4,0.42,0.32,,0.58,0.53,0.26,0.54
c_1,0.09,0.06,0.11,6.6,0.14,0.07,0.29,0.25,0.37,,0.28,0.22,0.7,0.55,0.31,0.53
b_1,0.07,0.08,0.07,0.08,7.06,0.15,0.33,0.33,0.44,0.45,,0.34,0.59,,0.35,0.44
a_1,0.05,0.09,0.04,0.08,0.08,10.25,0.25,0.29,0.37,0.5,0.34,0.54,0.68,,0.38,0.75
h_1,0.29,0.22,0.44,0.26,0.25,0.46,14.89,1.28,1.51,1.6,1.24,1.15,,1.38,1.29,2.66
g_1,0.25,0.54,0.22,0.36,0.22,0.17,1.09,15.67,1.26,1.31,1.06,2.35,2.11,1.38,1.35,
d_0,0.4,,0.45,0.64,0.39,0.32,1.33,1.68,12.28,1.55,1.66,1.64,3.38,1.75,1.85,3.07
c_0,0.48,0.42,0.41,,0.35,0.3,1.29,1.36,1.44,11.51,4.04,1.84,3.49,1.76,2.48,1.95
b_0,0.37,0.34,0.4,0.4,,0.4,1.29,1.76,1.89,1.9,13.29,1.55,2.5,3.78,2.44,2.33
f_0,0.36,0.43,,0.28,0.37,0.39,1.69,1.26,1.96,1.51,1.83,14.81,2.85,2.27,4.43,3.36
h_0,0.47,0.77,0.9,0.59,0.55,0.38,,2.5,2.49,2.15,2.98,2.96,,2.17,2.93,6.48
a_0,0.35,0.22,0.31,0.51,0.48,,1.92,1.46,1.48,1.95,1.89,2.27,3.87,19.07,1.97,2.96
e_0,,0.53,0.37,0.26,0.28,,1.8,1.08,2.57,2.38,2.44,1.65,3.28,2.32,22.12,2.86
g_0,0.52,0.74,0.47,0.66,0.39,0.57,2.18,,2.27,4.0,3.19,4.62,4.19,2.57,,
