,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.96,2.24,1.84,1.97,1.78,0.75,0.64,0.84,0.65,0.67,1.22,0.53,0.67,0.75,0.69
e_1,1.35,0.67,2.02,1.77,2.1,1.89,0.92,1.01,1.19,0.75,0.7,0.91,0.69,2.31,0.8,0.64
c_1,1.81,2.29,0.65,2.67,2.73,2.06,0.96,0.48,0.96,1.16,0.77,0.66,0.57,0.51,0.59,0.62
d_1,2.34,3.02,1.95,0.63,1.91,1.68,1.04,1.74,0.68,0.84,0.86,0.72,0.65,0.85,0.79,0.45
b_1,2.56,2.39,1.3,2.61,0.63,3.19,0.92,1.04,0.86,1.07,1.81,0.83,0.62,0.71,0.69,0.56
a_1,2.77,2.86,2.44,3.29,1.31,0.58,1.3,1.34,1.26,1.02,1.0,0.93,0.79,0.85,1.67,0.9
h_1,2.86,2.53,2.88,2.37,2.94,2.39,0.6,0.96,1.28,0.97,0.83,0.82,1.37,0.81,0.76,0.74
d_0,3.76,1.6,3.68,5.77,2.58,2.06,1.41,0.68,1.38,1.16,0.97,0.83,0.81,1.08,0.95,0.87
g_1,3.53,2.4,3.02,3.22,3.1,2.74,1.06,0.99,0.56,1.03,1.04,1.08,0.68,1.07,0.94,1.23
c_0,3.37,3.24,6.99,1.66,2.82,2.98,1.31,1.29,1.19,0.65,1.39,1.28,0.79,0.92,1.17,0.81
b_0,3.65,2.51,4.47,2.56,6.63,2.76,1.81,1.12,1.31,0.6,0.62,1.14,0.88,1.17,1.14,0.94
f_0,6.69,2.88,3.45,3.44,2.8,2.88,1.47,1.23,1.07,1.0,1.0,0.61,1.0,1.03,1.0,0.59
h_0,4.51,3.15,4.1,2.85,3.16,2.94,2.49,1.21,1.81,1.37,1.44,1.25,1.4,1.12,1.11,1.22
e_0,4.85,4.53,4.51,2.79,3.39,2.61,1.51,1.1,1.44,1.31,1.16,0.87,0.86,0.6,1.21,0.87
a_0,3.67,2.64,4.34,3.55,4.81,5.31,1.77,1.29,1.54,1.02,0.75,1.39,1.17,1.47,0.59,1.16
g_0,5.12,3.71,3.64,3.53,3.82,3.33,1.63,1.32,2.92,1.26,1.16,1.31,0.81,1.05,0.99,1.67
