,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.77,1.11,1.27,1.1,0.91,0.57,0.57,0.41,0.47,0.42,0.43,0.4,0.32,0.48,0.35
f_1,1.1,0.65,1.0,1.29,0.9,1.01,0.41,0.52,0.37,0.41,0.38,0.42,0.39,0.24,0.33,0.33
d_1,1.32,1.22,0.64,0.98,1.06,0.91,0.5,0.35,0.45,0.58,0.39,0.38,0.37,0.3,0.33,0.23
c_1,0.91,1.04,1.38,0.64,1.41,0.88,0.46,0.45,0.45,0.26,0.36,0.42,0.32,0.34,0.38,0.33
b_1,1.18,1.42,1.14,0.7,0.63,1.32,0.54,0.51,0.53,0.41,0.66,0.41,0.4,0.34,0.38,0.33
a_1,1.54,1.32,1.42,1.41,0.81,0.57,0.65,0.68,0.51,0.55,0.62,0.5,0.64,0.47,0.4,0.42
h_1,1.51,1.84,1.57,1.68,1.63,1.48,0.55,0.73,0.57,0.6,0.63,0.57,0.58,0.56,0.52,0.55
g_1,1.65,1.89,2.06,2.03,1.92,1.72,0.75,0.53,0.65,0.68,0.69,0.8,0.66,0.45,0.71,0.62
c_0,2.1,2.14,1.29,2.68,1.76,1.98,0.94,0.91,0.56,0.97,0.76,0.73,0.78,0.57,0.62,0.52
d_0,1.3,1.83,2.31,2.44,2.12,1.79,1.01,1.1,0.68,0.57,0.79,0.83,0.61,0.56,0.7,0.65
b_0,1.98,2.03,1.71,3.04,2.0,1.47,0.86,0.89,0.47,0.78,0.54,0.69,0.87,0.66,0.63,0.58
f_0,2.06,2.78,1.97,2.08,2.15,2.0,0.99,0.6,0.71,0.66,0.71,0.55,0.62,0.68,0.76,0.4
a_0,2.02,2.04,2.18,2.98,2.36,2.4,1.03,1.08,0.67,0.95,0.48,0.97,0.54,0.72,0.74,0.84
h_0,2.24,2.58,2.26,2.22,2.27,1.76,1.17,1.15,0.8,0.93,0.77,0.74,0.76,0.8,0.68,0.68
e_0,2.68,2.96,2.33,2.29,2.24,2.32,1.3,0.96,0.87,0.88,0.95,0.53,0.86,0.75,0.53,0.56
g_0,2.44,2.66,2.45,2.37,2.31,2.06,0.86,1.05,0.83,0.87,0.85,0.91,0.71,0.59,0.83,0.74
