,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.61,0.73,0.71,0.64,0.6,0.28,0.38,0.27,0.31,0.29,0.32,0.22,0.27,0.28,0.26
d_1,0.7,0.4,0.75,0.66,0.62,0.59,0.34,0.26,0.35,0.41,0.34,0.28,0.24,0.3,0.28,0.18
e_1,0.47,0.68,0.4,0.77,0.74,0.68,0.42,0.4,0.32,0.37,0.29,0.38,0.27,0.3,0.41,0.35
c_1,0.67,0.74,0.57,0.38,0.74,0.61,0.33,0.35,0.37,0.2,0.29,0.29,0.26,0.29,0.27,0.29
b_1,0.71,0.73,0.64,0.42,0.36,0.83,0.42,0.38,0.36,0.3,0.33,0.34,0.26,0.31,0.32,0.26
a_1,0.75,0.75,0.69,0.67,0.41,0.3,0.41,0.44,0.29,0.33,0.39,0.33,0.28,0.4,0.34,0.26
h_1,0.77,0.61,0.56,0.68,0.59,0.56,0.23,0.35,0.25,0.27,0.25,0.25,0.28,0.24,0.25,0.24
g_1,0.66,0.68,0.61,0.66,0.68,0.55,0.27,0.22,0.28,0.29,0.25,0.29,0.2,0.33,0.28,0.26
c_0,0.68,0.42,0.67,0.95,0.64,0.66,0.39,0.35,0.23,0.44,0.35,0.29,0.28,0.32,0.29,0.24
d_0,0.62,0.83,0.4,0.75,0.65,0.65,0.37,0.44,0.27,0.23,0.26,0.31,0.26,0.29,0.31,0.31
b_0,0.66,0.53,0.61,0.79,0.83,0.56,0.4,0.36,0.19,0.33,0.22,0.27,0.25,0.36,0.3,0.24
f_0,0.85,0.61,0.6,0.63,0.59,0.62,0.32,0.26,0.29,0.29,0.29,0.21,0.28,0.3,0.33,0.17
h_0,0.68,0.63,0.62,0.63,0.6,0.52,0.36,0.38,0.28,0.3,0.29,0.25,0.28,0.26,0.27,0.26
a_0,0.68,0.59,0.58,0.64,0.7,0.75,0.37,0.32,0.25,0.28,0.18,0.28,0.27,0.2,0.31,0.23
e_0,0.77,0.6,0.65,0.66,0.62,0.55,0.33,0.31,0.27,0.28,0.27,0.18,0.26,0.28,0.19,0.2
g_0,0.72,0.7,0.56,0.57,0.59,0.6,0.28,0.37,0.27,0.28,0.28,0.28,0.2,0.29,0.28,0.26
