,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.97,0.93,0.95,0.87,0.86,1.03,1.06,0.92,0.96,0.98,0.88,0.89,0.77,1.02
e_1,0.83,1.0,1.23,0.93,1.0,0.95,1.05,1.17,1.37,0.97,1.04,1.14,1.03,0.96,1.04,1.14
c_1,0.98,0.82,1.0,1.16,1.26,1.02,1.01,1.0,0.75,0.84,0.81,0.92,1.01,0.96,1.05,1.03
d_1,1.05,1.06,0.88,1.0,1.01,0.92,0.99,0.79,0.95,1.28,1.1,1.02,1.02,1.12,1.05,0.85
b_1,1.05,0.97,0.82,0.97,1.0,1.37,1.02,1.07,0.95,1.18,1.05,1.04,1.01,0.99,1.04,0.98
a_1,1.18,1.04,1.0,1.1,0.75,1.0,1.21,1.02,1.01,0.96,1.17,0.92,1.04,0.96,0.95,0.9
h_1,1.14,0.96,1.01,0.99,0.94,0.82,1.0,1.13,0.98,0.95,0.97,0.9,1.06,0.96,1.02,1.19
g_1,0.97,0.89,0.99,1.24,0.94,0.99,0.89,1.0,0.92,0.97,0.97,1.19,0.92,1.12,1.11,0.99
d_0,0.94,0.75,1.38,1.04,1.07,0.95,0.98,1.11,1.0,0.81,0.94,0.94,1.15,0.99,1.01,1.2
c_0,1.08,1.08,1.08,0.8,0.88,1.03,1.06,1.01,1.19,1.0,1.29,1.01,1.09,1.16,1.14,0.96
b_0,1.06,1.01,1.21,0.91,0.93,0.87,1.05,1.02,1.01,0.76,1.0,1.0,1.11,1.28,0.99,1.06
f_0,1.0,0.86,1.09,0.97,0.97,1.04,1.13,0.84,1.05,0.98,0.97,1.0,1.02,0.98,1.36,0.91
h_0,1.11,0.99,1.01,0.99,1.01,0.92,0.93,1.11,0.87,0.91,0.88,1.01,1.0,0.96,0.87,1.06
a_0,1.09,1.04,1.03,0.92,1.06,0.98,1.06,0.88,0.91,0.91,0.8,1.03,0.98,1.0,0.92,0.98
e_0,1.23,1.0,0.95,0.95,1.02,0.98,0.99,0.93,1.0,0.88,1.01,0.76,1.21,1.08,1.0,0.99
g_0,0.96,0.91,0.98,1.15,1.01,1.02,0.86,1.04,0.83,1.0,0.94,1.13,0.9,0.99,0.99,1.0
