,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,1.18,2.0,2.3,2.23,2.24,1.03,0.85,1.11,0.86,0.71,0.87,0.55,0.84,0.68,1.67
f_1,2.59,0.66,1.96,2.16,2.21,1.79,0.67,0.77,0.83,0.61,0.71,1.53,0.51,0.61,0.66,0.51
d_1,2.61,2.14,0.65,1.99,1.87,1.92,0.95,2.23,0.62,0.91,0.96,0.68,0.66,0.71,0.42,0.59
c_1,1.98,2.21,2.56,0.65,2.37,1.94,1.07,0.48,0.98,1.16,0.62,0.64,0.56,0.8,0.59,0.63
b_1,2.0,2.42,2.28,1.47,0.64,2.17,1.12,0.85,1.03,0.91,1.74,0.88,0.64,0.9,0.67,1.13
a_1,2.4,3.6,2.52,2.48,1.59,0.58,1.09,1.01,1.78,0.87,1.2,1.06,0.96,2.3,0.74,0.87
h_1,2.42,3.58,2.48,2.66,2.43,2.66,0.59,1.19,1.33,0.87,0.81,0.87,1.27,0.86,1.07,1.04
d_0,1.93,2.91,4.08,3.25,2.88,2.5,1.18,0.68,1.15,0.93,1.05,1.07,0.94,0.87,0.81,1.04
g_1,2.51,3.66,3.53,2.74,2.97,2.4,1.02,1.29,0.55,1.06,1.06,1.03,0.7,0.8,1.44,1.25
c_0,2.73,3.47,1.9,6.49,2.91,2.59,1.58,1.33,1.38,0.67,1.41,1.05,1.01,1.07,0.98,0.96
b_0,3.11,3.33,2.49,3.88,5.4,2.3,1.71,1.01,1.3,0.65,0.62,1.12,0.88,1.23,0.8,0.88
f_0,3.1,6.46,2.9,3.58,2.75,2.4,1.49,1.29,0.93,1.17,1.03,0.63,1.04,0.82,0.67,1.22
h_0,3.31,3.76,3.26,3.42,3.71,3.14,2.17,1.18,1.7,1.1,1.05,1.1,1.8,0.95,1.0,1.16
a_0,2.82,3.9,3.59,4.09,4.36,,1.48,1.58,1.63,1.26,0.66,1.12,1.12,0.59,1.22,1.12
g_0,3.53,3.72,3.93,3.41,3.66,3.91,1.06,1.55,2.15,1.3,1.39,1.18,1.01,1.04,1.4,1.32
e_0,5.03,6.93,3.83,3.24,2.89,2.96,1.53,1.16,1.44,1.36,1.55,0.69,0.86,1.1,0.99,0.58
