,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.08,1.43,2.52,2.78,2.77,2.13,0.64,0.55,0.78,0.48,0.47,0.57,0.32,0.47,0.53,0.36
f_1,2.29,1.09,1.98,2.61,2.42,2.11,0.51,0.57,0.71,0.45,0.48,0.66,0.26,0.47,0.38,0.35
d_1,3.17,2.84,1.09,2.72,2.42,2.22,0.66,0.73,0.49,0.48,0.54,0.56,0.37,0.46,0.47,0.25
c_1,2.29,2.91,3.52,1.09,2.43,2.49,0.8,0.36,0.93,0.72,0.62,0.6,0.38,0.52,0.52,0.4
b_1,2.85,3.31,3.58,1.77,1.1,3.12,0.84,0.59,0.91,0.86,0.94,0.58,0.41,0.61,0.55,0.45
a_1,4.98,4.72,4.25,3.82,2.23,1.13,1.4,1.06,1.24,1.02,1.1,0.83,0.57,1.19,1.0,0.58
h_1,9.6,10.3,9.14,10.19,9.31,7.95,1.58,2.2,2.56,1.87,1.89,1.85,1.8,1.8,1.76,1.46
d_0,7.25,10.63,13.83,11.65,11.33,10.34,3.06,1.73,3.54,2.06,2.02,2.34,1.57,1.94,2.09,1.6
g_1,12.41,13.42,11.77,12.39,12.04,9.85,2.46,3.08,1.57,2.74,2.27,2.34,1.39,2.5,2.15,2.4
c_0,13.2,12.36,7.78,21.22,14.1,12.94,3.53,4.53,3.1,1.82,2.48,2.97,2.08,2.7,2.45,1.71
b_0,12.88,13.52,10.79,19.73,19.98,12.04,4.04,3.31,3.47,1.69,1.8,2.66,2.16,2.32,2.59,1.91
f_0,14.22,17.83,14.65,15.57,13.32,12.25,4.19,3.65,2.86,3.19,3.03,1.8,2.46,2.89,2.51,1.52
h_0,17.12,19.91,18.82,18.44,17.23,14.91,6.59,3.88,4.98,3.9,3.5,3.51,3.73,3.19,2.97,2.65
a_0,16.73,18.47,18.93,22.13,22.3,20.18,6.0,4.19,5.02,3.19,2.4,4.27,3.32,2.09,3.51,2.35
e_0,26.22,24.88,21.44,22.95,21.8,17.15,6.54,4.76,4.59,3.92,4.06,2.39,3.1,4.37,2.22,2.58
g_0,23.11,23.12,20.36,23.29,20.7,18.21,4.99,4.73,7.09,4.16,3.97,4.27,2.59,4.14,3.55,3.6
