,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.88,0.08,0.15,0.08,0.07,0.05,0.08,0.04,0.09,0.09,0.06,0.02,0.08,0.04,0.05,0.04
d_1,0.1,0.88,0.07,0.06,0.07,0.05,0.09,0.07,0.14,0.02,0.08,0.08,0.08,0.05,0.08,0.05
e_1,0.1,0.09,0.88,0.08,0.06,0.05,0.08,0.06,0.08,0.13,0.06,0.06,0.09,0.04,0.06,0.01
c_1,0.09,0.08,0.08,0.88,0.13,0.05,0.07,0.05,0.02,0.08,0.05,0.06,0.07,0.04,0.07,0.04
b_1,0.08,0.1,0.07,0.1,0.87,0.09,0.08,0.06,0.05,0.07,0.01,0.06,0.07,0.03,0.05,0.05
a_1,0.11,0.09,0.11,0.06,0.06,0.87,0.09,0.07,0.07,0.07,0.08,0.04,0.08,0.02,0.07,0.03
h_1,0.21,0.15,0.14,0.13,0.12,0.09,0.53,0.13,0.15,0.11,0.13,0.11,0.04,0.07,0.13,0.08
g_1,0.17,0.23,0.11,0.12,0.12,0.08,0.13,0.52,0.13,0.09,0.13,0.17,0.13,0.09,0.04,0.07
c_0,0.2,0.18,0.13,0.05,0.1,0.1,0.14,0.13,0.39,0.12,0.25,0.13,0.15,0.08,0.11,0.09
d_0,0.16,0.03,0.14,0.26,0.11,0.09,0.13,0.15,0.11,0.36,0.15,0.13,0.11,0.07,0.12,0.09
b_0,0.16,0.2,0.14,0.17,0.04,0.07,0.16,0.13,0.13,0.14,0.36,0.13,0.17,0.2,0.12,0.1
f_0,0.06,0.17,0.15,0.14,0.14,0.09,0.16,0.14,0.15,0.14,0.15,0.38,0.13,0.08,0.15,0.2
h_0,0.19,0.17,0.16,0.14,0.1,0.11,0.05,0.14,0.13,0.12,0.12,0.1,0.05,0.08,0.16,0.08
a_0,0.18,0.18,0.16,0.14,0.12,0.03,0.13,0.12,0.13,0.14,0.11,0.14,0.18,0.38,0.16,0.07
g_0,0.16,0.23,0.12,0.15,0.11,0.08,0.14,0.06,0.15,0.14,0.11,0.17,0.12,0.09,0.05,0.1
e_0,0.13,0.2,0.09,0.14,0.11,0.13,0.16,0.13,0.13,0.11,0.13,0.13,0.16,0.09,0.14,0.36
