,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,113.77,83.55,92.48,89.03,169.46,381.57,12829.43,19988.76,22984.43,38998.3,45328.65,49599.12,109715.81,133359.72,150273.15,156552.53
e_1,64.38,118.45,80.32,114.64,181.64,427.58,13617.97,34094.77,24803.79,23876.57,41799.3,42781.2,112750.84,114029.72,116501.06,153857.1
f_1,70.75,107.09,125.66,95.83,149.52,364.01,11368.95,22919.61,23377.34,23344.0,33179.04,38938.3,92555.55,113763.13,90861.0,132394.23
c_1,71.77,70.38,76.84,139.92,232.48,350.53,12010.57,18482.89,19820.08,18380.14,35472.89,30484.74,96589.47,104550.69,115372.27,164796.4
b_1,59.28,60.09,63.12,70.12,221.52,481.86,11153.48,15741.04,16354.11,21391.55,31381.53,32759.41,75898.6,82908.8,106933.36,137269.26
a_1,45.54,43.25,52.03,55.82,89.88,443.57,8270.01,14520.22,16288.96,17419.91,26406.8,28545.55,69172.71,64823.82,91063.98,93108.58
h_1,18.29,18.36,24.99,23.91,34.92,78.49,3995.53,5300.15,6624.01,5675.98,9283.1,9526.27,21350.33,30575.66,29742.37,41550.86
d_0,13.42,14.33,16.64,28.32,40.52,77.42,2669.86,5358.05,4428.29,4104.04,8296.53,7620.49,20376.94,22028.81,27911.94,33145.25
g_1,18.74,13.86,15.31,18.67,32.07,68.11,2240.66,4424.89,6514.23,5155.64,10178.86,8343.89,19297.85,27796.29,31449.06,29422.82
c_0,14.01,16.24,18.25,19.14,25.84,67.0,2784.63,4916.16,4382.44,6210.81,8400.6,13288.84,21939.28,29731.75,29376.77,33756.0
f_0,12.92,11.74,14.28,17.2,31.03,70.17,2190.7,3896.83,3898.27,4297.71,8562.14,6904.45,17896.67,20885.27,36813.15,24501.37
b_0,12.56,13.03,15.89,19.18,21.74,56.25,2136.53,4113.81,3802.24,3692.66,7125.51,8803.81,18185.66,34082.14,26657.34,27656.26
h_0,10.77,10.63,13.63,12.25,20.04,46.03,1468.17,3060.46,3338.9,3132.22,5120.24,5283.85,12529.1,15946.34,17481.46,23983.19
a_0,9.17,9.47,11.26,12.03,19.43,34.76,1646.33,2848.78,2730.03,3143.22,5113.64,3965.86,12752.75,19965.7,18097.04,19970.78
e_0,9.53,7.12,12.05,11.13,19.39,41.19,1596.99,2446.31,2488.01,2958.55,4057.36,4660.31,12539.23,15061.38,21152.98,19409.87
g_0,11.24,8.17,9.66,10.43,17.99,43.72,1339.63,2320.52,2417.39,2928.24,6223.48,4959.65,11119.94,14387.79,15866.93,17899.2
