,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.35,0.96,1.7,1.07,0.89,0.66,1.89,2.43,1.68,1.97,2.12,1.38,2.76,1.75,1.18,1.94
d_1,1.24,2.44,1.09,0.78,0.93,0.86,2.06,1.65,1.9,3.75,2.46,1.95,2.89,2.06,1.93,2.5
e_1,1.14,0.96,2.42,1.34,0.85,0.79,1.84,3.76,1.71,2.06,2.31,2.31,2.76,1.75,1.57,2.37
c_1,1.05,1.13,0.93,2.51,1.65,0.91,1.65,1.92,1.62,1.32,1.64,1.81,2.59,1.82,1.51,2.63
b_1,1.0,1.18,0.96,0.91,2.64,1.71,1.82,1.93,1.63,1.97,1.23,2.05,2.63,1.31,1.63,2.6
a_1,1.23,1.09,1.06,0.89,1.12,3.05,2.14,2.24,1.89,2.01,2.01,2.11,2.66,1.4,1.8,2.25
h_1,1.43,1.11,1.21,1.28,0.89,0.88,3.5,2.23,2.41,1.94,2.26,2.18,2.17,1.77,1.91,3.59
d_0,1.16,0.9,1.03,1.92,1.1,0.9,1.99,3.2,1.68,1.44,2.28,2.28,2.82,1.96,1.98,2.65
g_1,1.05,1.63,1.0,1.24,0.97,0.83,2.16,1.9,3.74,2.25,2.28,2.85,2.82,2.26,2.19,2.48
c_0,1.21,1.08,1.29,1.04,0.76,0.98,2.15,2.72,2.0,3.38,4.19,2.69,3.08,2.37,2.28,2.85
b_0,1.17,1.16,1.13,1.38,0.76,0.71,2.17,2.47,2.08,2.23,3.55,2.33,3.47,3.97,2.55,2.97
f_0,1.01,1.08,0.87,1.31,1.18,1.05,2.33,2.39,2.04,2.45,2.28,3.5,2.86,2.05,3.87,2.87
h_0,1.62,1.14,1.24,1.17,0.94,0.73,1.63,2.32,2.38,2.09,2.24,2.0,2.33,2.01,2.01,3.35
a_0,1.09,1.2,1.08,1.21,1.05,0.78,2.5,2.47,1.85,2.42,2.53,2.54,3.33,3.68,2.23,3.27
e_0,1.32,1.08,0.85,1.31,1.13,0.9,2.46,2.35,2.27,2.34,2.31,2.14,3.86,2.35,3.9,2.77
g_0,1.14,1.49,0.96,1.15,0.92,1.0,1.91,2.29,1.46,2.46,2.54,3.14,2.71,2.1,2.59,2.27
