,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,97.64,53.62,42.97,47.09,70.56,224.33,4734.35,9896.76,11496.62,14940.8,18298.61,10895.21,52424.61,48211.51,67561.48,117939.06
e_1,29.11,102.03,43.14,53.65,67.05,280.09,5218.16,10970.61,21610.0,15323.69,15568.76,32813.37,52613.28,70676.31,39767.19,142010.35
d_1,30.69,27.24,136.01,40.35,57.09,196.09,4839.76,7950.29,6242.12,22452.98,15810.62,28181.45,50932.24,58576.36,88281.87,117854.69
c_1,26.7,26.13,41.5,142.76,98.06,190.18,4437.32,11386.78,10222.04,5101.33,11184.52,22793.21,51187.89,51718.64,67725.68,108181.48
b_1,22.75,25.34,37.96,35.12,190.13,342.41,4441.7,7423.38,10600.21,12073.08,8334.6,25137.89,41812.12,44068.91,64062.52,97949.71
a_1,17.22,15.06,28.41,27.38,24.81,551.17,2917.07,6604.67,7006.0,7370.93,8235.43,16855.68,26366.82,17289.66,45453.33,69079.15
h_1,12.53,9.4,13.86,14.17,19.11,60.62,3129.72,3996.42,3549.25,5201.14,5133.03,9856.1,10158.65,16970.37,27295.9,54591.18
g_1,6.87,5.25,16.71,12.05,19.09,40.89,1164.82,5788.24,2409.14,3035.41,3865.19,10193.36,10692.38,14671.13,19036.93,16670.4
d_0,8.63,5.73,6.37,19.06,16.99,61.82,1266.42,2625.53,4926.39,2461.06,3571.42,7974.34,11801.63,17652.84,18690.96,36544.52
c_0,7.85,7.88,9.59,8.54,13.09,55.49,1166.83,3167.44,3345.45,5641.13,6553.22,6838.08,14252.34,19114.3,18515.41,35217.01
b_0,6.88,7.95,11.53,11.06,7.83,50.44,1004.39,2639.72,2874.98,2673.89,6323.21,6399.36,10897.8,28406.0,16936.04,33422.81
f_0,3.71,4.66,9.37,11.47,11.69,40.73,1026.08,1822.83,2384.4,2776.62,2952.64,10013.2,10010.58,14348.88,26109.29,28367.03
h_0,6.26,4.59,7.65,6.74,11.17,40.46,463.61,2099.8,1869.49,1750.55,2421.53,5062.69,5310.87,8581.34,13138.99,26913.17
a_0,5.19,4.15,5.69,7.07,11.1,23.69,809.26,1526.48,1824.26,1795.32,2068.48,3834.08,7778.39,17897.05,14215.6,21656.95
e_0,4.52,2.84,5.37,7.12,9.74,33.16,759.57,1719.85,1556.14,2302.71,2257.16,3809.24,7213.86,8185.57,22861.56,17276.47
g_0,3.54,3.36,7.05,6.09,6.88,23.88,475.28,1064.61,1262.19,1558.36,2038.73,4850.67,6167.92,6680.11,10827.55,11099.58
