,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.97,1.0,0.97,0.85,0.87,1.04,0.94,0.88,0.99,0.93,0.88,1.0,1.03,0.86
e_1,0.85,1.0,0.89,1.2,1.03,0.97,1.09,1.31,1.05,0.96,0.99,1.15,1.0,1.03,1.06,1.08
d_1,1.04,1.08,1.0,0.9,0.96,0.99,1.0,1.0,0.82,1.23,1.03,1.02,1.02,0.98,0.88,1.0
c_1,0.98,0.86,1.14,1.0,1.21,1.02,0.97,0.7,1.1,0.89,0.82,0.98,1.08,0.93,0.95,1.01
b_1,1.01,0.94,1.01,0.84,1.0,1.45,1.02,0.94,1.04,1.16,1.1,0.91,0.92,0.88,1.07,0.99
a_1,1.17,1.03,0.99,0.97,0.72,1.0,1.09,1.18,1.11,1.14,1.3,1.05,1.14,1.12,0.99,1.04
h_1,1.18,0.94,1.03,0.99,0.97,0.83,1.0,0.92,1.15,0.87,0.91,0.92,1.04,0.9,1.19,0.92
d_0,0.94,0.75,1.04,1.39,1.11,0.85,1.09,1.0,1.11,0.83,0.93,1.01,1.06,0.98,1.14,1.22
g_1,1.04,0.97,1.24,0.91,0.97,0.92,0.87,0.92,1.0,0.99,0.95,1.15,0.87,0.95,0.95,0.97
c_0,1.16,1.04,0.84,1.09,0.9,0.86,1.09,1.19,0.99,1.0,1.29,1.0,1.13,1.23,1.08,1.09
b_0,1.05,1.0,0.97,1.13,0.95,0.76,1.09,1.06,1.03,0.8,1.0,1.02,1.09,1.39,1.03,0.93
f_0,1.08,0.85,0.99,0.98,1.12,0.93,1.06,1.01,0.88,0.96,0.99,1.0,1.05,1.02,0.84,1.4
h_0,1.11,0.98,0.98,0.94,1.03,0.92,0.96,0.9,1.17,0.88,0.93,0.95,1.0,0.96,1.04,0.89
a_0,1.05,0.93,0.97,1.14,1.14,0.91,1.14,1.01,1.0,0.85,0.74,0.95,1.08,1.0,1.01,0.92
g_0,0.94,0.95,1.11,1.03,0.99,0.97,0.87,0.9,1.05,0.91,0.94,1.19,0.95,0.98,1.0,1.08
e_0,1.14,0.95,1.01,0.97,0.98,0.95,1.06,0.87,1.06,0.91,0.99,0.74,1.1,1.1,0.94,1.0
