,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.9,1.02,1.03,0.84,0.83,1.03,0.92,1.01,0.91,0.9,0.87,1.03,0.76,1.04
e_1,0.83,1.0,0.96,1.15,1.05,1.0,1.08,1.32,0.9,1.05,0.98,1.08,1.06,1.12,1.16,1.09
d_1,1.11,1.06,1.0,0.95,0.91,0.94,0.93,0.91,1.26,0.75,1.07,0.98,1.01,0.94,1.03,0.83
c_1,1.0,0.86,1.05,1.0,1.31,1.02,1.02,0.7,1.01,1.02,0.81,0.99,0.95,0.9,1.03,0.98
b_1,0.96,0.95,1.09,0.78,1.0,1.4,1.11,0.96,1.05,1.12,1.1,0.96,1.06,0.87,0.91,1.05
a_1,1.17,1.02,1.05,0.99,0.72,1.0,1.19,1.15,0.99,1.19,1.26,1.12,1.14,1.11,1.07,1.16
h_1,1.2,0.93,1.07,1.0,0.87,0.89,1.0,0.95,0.93,1.15,0.97,0.93,0.96,0.97,1.01,1.11
d_0,0.94,0.77,1.08,1.41,1.07,0.86,1.04,1.0,0.82,1.06,0.93,1.08,0.99,0.92,1.1,1.02
c_0,1.08,1.1,0.82,1.02,0.92,0.92,1.05,1.34,1.0,1.06,1.41,0.95,1.03,1.1,1.01,1.02
g_1,0.99,0.92,1.26,0.97,0.93,0.89,0.84,0.9,0.94,1.0,0.92,1.19,0.96,0.95,1.16,0.91
b_0,1.1,1.02,0.95,1.24,0.9,0.76,1.04,1.05,0.75,1.12,1.0,0.96,1.0,1.32,0.99,1.05
f_0,1.14,0.9,1.01,1.05,1.05,0.89,1.04,1.0,1.02,0.88,0.99,1.0,1.01,0.91,1.31,0.79
h_0,1.1,0.98,0.97,1.09,0.96,0.86,1.05,1.04,0.95,1.07,1.03,1.0,1.0,0.95,0.87,1.09
a_0,0.92,0.9,1.01,1.11,1.1,0.88,1.03,1.02,0.94,1.04,0.79,1.05,1.07,1.0,0.98,1.04
e_0,1.31,0.88,0.9,0.97,1.09,0.96,0.98,0.93,0.95,0.87,1.03,0.78,1.15,1.09,1.0,0.97
g_0,0.96,0.92,1.16,1.03,0.97,0.87,0.89,1.01,0.98,1.06,0.96,1.25,0.91,1.05,1.13,1.0
