,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.67,2.04,1.18,2.46,2.21,2.01,1.08,1.06,0.78,0.63,0.89,0.84,0.85,1.63,0.82,0.76
d_1,2.28,0.66,2.19,1.93,2.07,1.96,0.97,0.63,1.26,0.79,0.74,0.63,0.6,0.77,0.68,0.38
f_1,2.82,1.95,0.66,2.11,1.86,1.61,0.66,1.1,0.9,0.75,0.66,1.38,0.38,0.64,0.62,0.67
c_1,1.8,2.66,2.22,0.64,2.86,1.74,1.14,0.98,0.49,1.36,0.72,0.77,0.73,0.68,0.77,0.55
b_1,2.33,2.24,2.79,1.29,0.62,2.81,1.04,1.06,0.91,1.11,2.47,0.78,0.7,0.82,0.67,0.87
a_1,2.72,2.64,3.24,2.74,1.51,0.58,1.32,1.09,0.83,1.03,1.04,1.08,0.7,0.89,2.29,0.78
h_1,2.49,2.52,3.07,2.81,2.45,2.4,0.59,1.37,1.0,1.01,0.89,0.93,1.9,1.14,1.14,0.92
g_1,2.53,2.86,3.01,2.73,2.5,2.69,0.97,0.59,1.21,1.0,1.1,1.32,0.63,0.78,0.97,1.19
d_0,1.94,5.97,2.81,3.15,2.5,4.0,1.42,1.4,0.67,1.19,0.9,0.98,0.87,0.88,0.88,0.85
c_0,3.24,1.93,3.16,7.49,2.7,2.52,1.25,1.45,1.34,0.65,1.25,1.28,0.82,0.97,0.91,0.97
b_0,3.09,2.5,3.03,3.56,4.51,2.62,1.48,1.4,1.61,0.78,0.63,1.18,0.77,0.87,1.1,0.85
f_0,2.54,3.2,7.91,3.25,2.86,2.83,1.39,0.86,1.23,0.98,1.06,0.63,1.03,1.23,0.83,0.68
h_0,2.97,3.17,4.86,3.38,3.04,3.05,1.91,1.91,1.26,1.12,1.24,1.03,1.66,1.04,0.98,0.81
e_0,4.87,3.33,4.96,4.21,3.48,2.63,1.32,1.46,1.28,1.28,1.33,0.73,1.06,0.58,1.27,0.76
a_0,3.1,3.13,4.03,3.99,5.75,,1.6,1.83,1.7,1.26,0.7,1.44,1.27,1.04,0.58,1.0
g_0,3.34,4.74,3.64,4.63,3.51,3.47,1.19,2.44,1.29,1.46,1.34,1.21,1.06,1.29,1.34,1.87
