,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.59,0.89,0.6,0.66,0.46,0.8,1.36,0.65,0.84,0.81,0.88,0.89,0.73,0.55,0.77
f_1,1.17,1.53,0.63,0.62,0.53,0.59,0.59,0.74,0.61,0.69,0.76,0.45,0.79,0.55,0.46,0.74
c_1,0.59,0.75,1.53,0.67,1.0,0.51,0.86,0.64,0.75,0.43,0.56,0.79,0.82,0.68,0.63,0.62
d_1,0.7,0.8,0.65,1.56,0.64,0.45,0.77,0.5,0.73,1.3,0.96,0.77,0.87,0.83,0.69,0.76
b_1,0.61,0.7,0.66,0.71,1.61,1.04,0.7,0.77,0.77,0.93,0.6,0.8,0.92,0.55,0.69,0.96
a_1,0.93,0.83,0.66,0.81,0.57,1.75,1.06,0.93,0.82,0.85,0.9,0.65,1.0,0.44,0.77,0.81
h_1,0.89,1.31,0.9,0.8,0.9,0.61,1.79,1.08,1.31,0.87,1.0,1.07,0.77,0.95,0.83,1.09
d_0,0.78,0.92,1.63,0.7,0.85,0.65,1.03,1.59,1.12,0.83,1.14,1.05,1.1,0.84,1.03,1.26
g_1,0.93,0.89,0.84,1.36,0.84,0.66,0.86,0.83,1.82,1.2,1.0,1.35,1.25,0.63,1.07,0.82
c_0,0.9,1.08,0.7,0.93,0.7,0.76,1.21,1.27,0.89,1.62,1.87,1.21,1.33,1.15,1.02,1.13
b_0,1.0,1.07,1.13,0.99,0.5,0.65,1.06,1.2,1.15,0.96,1.64,1.13,1.27,1.65,1.02,1.14
f_0,0.85,0.72,1.05,1.17,0.95,0.82,1.05,1.19,1.02,1.11,1.09,1.69,1.31,1.11,1.6,1.04
h_0,0.95,1.29,0.99,1.12,0.78,0.82,0.82,1.21,1.23,1.11,1.08,0.98,0.98,0.96,0.99,1.52
a_0,1.03,1.33,0.97,1.02,0.83,0.6,1.05,1.23,1.18,1.29,1.05,1.01,1.33,1.74,1.05,1.14
e_0,0.78,1.22,1.17,1.05,1.04,0.88,1.12,1.09,1.17,0.94,1.09,0.89,1.43,0.89,1.79,1.11
g_0,0.94,0.96,1.01,1.53,0.86,0.82,1.12,1.01,0.83,1.27,1.08,1.7,1.14,0.94,1.1,0.96
