,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.85,0.6,0.7,0.48,0.59,0.62,0.96,0.32,0.87,1.7,1.1,1.06,0.98,1.13,1.05,1.06
e_1,0.51,2.87,0.63,0.78,0.57,0.64,0.87,1.72,0.9,0.83,0.92,1.09,1.05,1.05,0.48,0.87
f_1,0.64,1.09,2.93,0.61,0.45,0.56,0.83,0.8,0.93,0.92,0.34,0.87,0.76,0.9,0.62,0.69
c_1,0.59,0.61,0.64,3.05,1.09,0.43,0.79,0.9,0.74,0.31,0.91,0.64,1.04,0.81,0.79,1.09
b_1,0.63,0.53,0.54,0.64,3.64,1.17,0.94,0.77,0.77,0.83,0.87,0.35,0.8,0.6,1.04,1.08
a_1,0.66,0.61,0.47,0.57,0.7,4.71,0.98,1.11,1.02,1.04,1.2,1.02,1.05,0.38,1.27,0.9
h_1,0.83,0.57,1.16,0.83,0.64,0.53,3.13,1.01,1.53,1.03,0.94,1.09,0.64,1.18,1.13,1.42
d_0,0.45,0.71,0.72,1.56,0.85,0.79,1.08,2.08,0.87,0.76,1.1,1.06,1.12,0.84,1.0,1.09
g_1,1.16,0.65,0.63,0.65,0.69,0.65,0.76,1.1,3.81,0.98,1.76,1.22,1.31,1.28,1.35,0.56
c_0,0.8,0.71,0.95,0.45,0.56,0.64,1.34,1.23,1.04,2.47,1.23,2.67,1.33,1.41,1.39,1.54
f_0,0.85,0.61,0.48,0.9,0.81,0.73,1.11,1.22,1.37,0.99,2.6,1.31,1.39,1.32,2.56,1.15
b_0,0.89,0.71,1.02,0.86,0.27,0.45,1.07,1.2,1.08,0.99,1.26,2.65,1.4,2.48,1.34,1.07
h_0,0.94,0.69,1.16,0.71,0.67,0.62,0.62,1.08,1.28,1.0,1.17,1.2,0.75,0.98,1.18,1.42
a_0,0.93,0.69,0.9,0.7,0.6,0.28,1.36,1.16,0.85,1.26,1.48,1.06,1.33,3.4,1.47,1.25
e_0,1.03,0.29,0.84,0.87,0.64,0.71,1.35,1.18,1.1,1.12,1.26,1.19,1.43,1.36,3.5,1.38
g_0,1.28,0.61,0.74,0.65,0.69,0.66,1.11,0.85,0.78,1.13,1.97,1.4,1.37,1.25,1.19,0.92
