,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.85,0.77,0.89,0.7,0.76,0.73,0.93,0.69,1.04,1.62,1.09,1.2,1.06,1.11,1.2,1.06
e_1,0.66,1.77,0.87,1.01,0.84,0.85,1.01,1.56,0.98,0.83,0.93,0.98,1.06,0.88,0.69,0.89
f_1,0.82,1.27,1.86,0.8,0.64,0.72,0.9,0.95,0.92,0.88,0.71,0.94,0.93,0.94,0.62,0.76
c_1,0.81,0.8,0.77,1.91,1.33,0.69,0.94,0.91,0.82,0.62,0.91,0.71,0.95,0.88,0.88,1.08
b_1,0.83,0.78,0.72,0.86,2.17,1.45,1.04,0.82,0.8,0.89,0.97,0.79,0.86,0.79,1.02,1.1
a_1,0.86,0.74,0.83,0.76,0.82,2.78,0.98,1.01,1.14,1.08,1.09,1.07,1.1,0.72,1.12,0.96
h_1,0.95,0.85,1.16,0.92,0.74,0.68,1.75,0.97,1.25,0.95,1.0,0.97,0.79,1.15,0.99,1.17
d_0,0.71,0.85,0.85,1.37,1.0,0.81,1.03,1.32,0.89,0.71,1.05,0.88,0.96,0.91,1.05,1.02
g_1,1.28,0.76,0.79,0.83,0.77,0.76,0.93,0.96,2.12,1.03,1.5,1.06,1.03,1.29,1.35,0.91
c_0,1.01,0.88,1.0,0.79,0.6,0.73,1.14,1.01,1.0,1.53,1.11,1.92,1.14,1.42,1.23,1.15
f_0,0.97,0.73,0.79,0.92,0.93,0.92,1.04,1.03,1.16,1.01,1.61,1.01,1.08,1.15,2.06,1.05
b_0,0.98,0.87,1.03,0.99,0.56,0.7,0.99,1.05,1.02,0.99,1.11,1.63,1.13,2.05,1.3,1.12
h_0,1.04,0.92,1.13,0.84,0.71,0.74,0.77,1.02,1.16,0.92,0.98,1.02,0.88,1.09,1.09,1.28
a_0,0.99,0.85,1.02,0.91,0.78,0.53,1.17,1.03,1.11,1.13,1.18,0.94,1.12,2.02,1.32,1.18
e_0,1.11,0.57,1.02,0.84,0.87,0.81,1.12,0.92,1.01,1.03,1.06,1.01,1.15,1.24,2.0,1.17
g_0,1.35,0.74,0.82,0.82,0.8,0.81,0.94,0.84,0.87,1.02,1.54,1.08,1.04,1.13,1.13,1.03
