,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.06,0.85,0.96,1.0,1.04,0.98,1.26,0.81,1.05,0.95,1.0,1.08,1.01,0.79
f_1,0.87,1.0,1.31,1.01,0.92,0.87,0.88,1.09,0.92,1.09,0.96,1.0,0.88,0.96,0.79,1.02
e_1,0.93,0.77,1.0,1.18,1.11,0.97,0.99,1.43,0.99,1.15,0.96,1.09,1.11,1.04,1.03,1.24
c_1,1.19,0.98,0.84,1.0,1.3,0.87,1.0,0.72,0.88,0.96,0.82,0.94,1.0,0.96,1.06,1.0
b_1,1.05,1.07,0.9,0.78,1.0,1.6,1.08,0.98,1.01,0.97,1.17,0.95,1.01,0.89,0.93,0.96
a_1,1.01,1.17,1.04,1.11,0.62,1.0,1.06,0.91,0.99,1.09,1.21,1.14,1.07,1.11,1.09,1.08
h_1,0.97,1.16,1.0,1.0,0.94,0.92,1.0,0.9,0.92,1.17,0.93,1.0,0.97,0.8,1.01,1.22
d_0,1.02,0.89,0.7,1.4,1.06,1.03,1.12,1.0,0.84,1.12,1.05,1.11,1.08,0.97,1.02,1.25
c_0,0.81,1.09,1.01,1.1,0.97,0.94,1.1,1.2,1.0,1.09,1.3,1.01,1.07,1.1,1.01,1.04
g_1,1.2,0.92,0.83,1.07,1.03,0.9,0.87,0.88,0.92,1.0,0.99,1.25,0.85,0.79,1.02,1.02
b_0,0.95,1.12,0.98,1.21,0.92,0.8,1.05,0.93,0.77,1.0,1.0,0.95,1.07,1.35,1.12,1.02
f_0,1.07,1.05,0.92,1.04,1.07,0.87,0.97,0.92,0.97,0.85,1.05,1.0,1.08,1.02,1.45,0.84
h_0,1.05,1.14,0.9,1.03,0.99,0.89,1.05,0.95,0.92,1.21,0.96,0.96,1.0,0.95,0.91,1.19
a_0,0.92,1.06,0.96,1.03,1.15,0.85,1.21,0.98,0.9,1.24,0.8,0.95,1.03,1.0,1.04,1.0
e_0,0.99,1.25,0.99,0.96,1.07,0.85,0.93,1.01,1.0,0.94,0.93,0.74,1.12,0.99,1.0,1.02
g_0,1.24,0.94,0.85,1.06,1.04,0.97,0.87,0.83,1.0,0.99,0.97,1.18,0.84,1.01,1.0,1.0
