,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.19,0.63,0.77,0.51,0.47,0.5,0.86,2.02,0.79,0.89,1.06,1.14,0.95,1.08,0.49,0.85
f_1,1.25,15.03,0.53,0.57,0.47,0.42,0.75,0.92,0.82,0.89,0.94,0.45,0.88,0.88,0.62,0.97
c_1,0.48,0.6,16.49,0.53,1.38,0.47,0.79,0.82,0.72,0.23,0.53,0.81,0.9,0.88,0.92,0.93
d_1,0.53,0.59,0.34,19.69,0.58,0.57,0.86,0.41,1.22,2.31,1.26,1.05,0.96,1.15,1.0,0.94
b_1,0.43,0.49,0.56,0.52,20.81,1.61,0.93,0.77,0.85,0.8,0.37,0.86,1.09,0.72,1.01,0.9
a_1,0.5,0.65,0.7,0.59,0.45,29.99,1.02,0.83,0.66,0.81,1.12,0.98,0.9,0.34,1.09,0.97
h_1,0.48,1.2,0.84,0.8,0.68,0.66,5.32,0.9,1.42,0.85,1.17,0.88,0.94,1.01,1.44,1.76
d_0,0.68,0.67,2.23,0.26,0.79,0.71,1.4,3.01,1.0,0.67,1.0,1.12,1.2,0.89,1.18,0.93
g_1,0.66,0.53,0.6,1.75,0.6,0.53,1.17,0.85,6.43,1.21,1.28,2.3,1.03,0.96,1.32,0.69
c_0,1.08,0.82,0.45,0.82,0.44,0.72,1.22,1.17,1.27,3.15,2.75,1.09,1.25,1.35,1.1,1.15
b_0,0.81,0.65,0.95,0.9,0.36,0.51,1.21,1.11,1.09,1.17,3.47,1.29,1.18,2.9,1.58,1.44
f_0,0.57,0.5,0.8,0.75,0.72,0.82,1.51,1.18,1.44,1.42,1.45,4.02,1.42,1.19,3.69,1.47
h_0,0.56,1.41,0.69,0.93,0.53,0.59,0.81,0.93,1.59,1.23,1.21,1.33,0.82,1.28,1.41,2.0
a_0,0.84,0.71,0.73,1.03,0.7,0.26,1.17,1.17,1.15,1.33,1.14,1.24,1.25,4.18,1.48,1.38
e_0,0.39,0.99,1.0,0.74,0.69,0.76,1.61,1.09,1.39,1.31,1.23,1.26,1.61,1.28,4.6,1.54
g_0,0.49,0.74,0.73,1.6,0.62,0.7,1.05,0.82,0.72,1.27,1.37,2.19,1.7,1.36,1.51,0.94
