,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,12.41,0.49,0.7,0.92,0.66,0.56,0.96,2.51,0.87,0.97,0.91,1.03,0.95,1.21,0.53,0.98
d_1,0.5,17.12,0.65,0.45,0.54,0.6,0.89,0.53,2.56,0.94,1.51,1.1,1.12,1.02,1.47,1.24
f_1,1.65,0.54,12.68,0.76,0.49,0.64,0.72,0.87,0.76,0.74,0.82,0.43,1.08,0.75,0.69,0.74
c_1,0.59,0.55,0.64,13.16,1.92,0.56,0.95,0.66,0.51,0.86,0.58,0.91,0.85,0.8,0.86,0.76
b_1,0.62,0.73,0.68,0.55,14.1,1.71,0.91,0.83,0.74,0.94,0.51,0.89,0.93,0.93,0.9,0.74
a_1,0.68,0.74,0.75,0.67,0.43,21.57,1.12,1.03,0.93,1.0,1.11,1.26,0.96,1.01,1.09,0.68
h_1,0.69,0.87,1.16,0.68,0.64,0.71,4.0,0.91,0.88,1.5,1.1,1.05,0.71,1.57,1.05,1.14
d_0,0.67,0.36,0.87,2.29,0.92,0.7,1.19,2.33,0.55,1.0,1.06,0.94,0.98,0.84,0.85,1.26
c_0,0.73,1.13,0.8,0.57,0.55,0.76,1.01,1.1,2.51,0.94,3.16,1.32,1.15,1.26,1.27,1.59
g_1,0.41,1.61,0.55,0.75,0.79,0.64,1.05,0.81,1.09,4.61,1.18,2.04,0.99,0.84,1.44,1.04
b_0,0.68,0.94,0.97,0.78,0.48,0.56,1.32,0.94,1.15,0.97,3.16,1.15,1.33,1.36,1.05,3.12
f_0,0.56,1.17,0.43,0.76,0.76,0.81,1.19,1.16,1.19,1.13,1.46,2.76,1.33,1.49,2.94,1.26
h_0,0.78,0.9,1.25,0.79,0.59,0.66,0.77,1.13,0.92,1.53,1.07,1.17,0.71,1.61,0.97,1.02
g_0,0.59,1.93,0.6,0.77,0.66,0.67,1.1,0.82,1.13,1.02,0.94,2.11,1.01,0.71,1.1,1.09
e_0,0.3,1.12,0.88,0.78,0.84,0.87,1.36,0.85,1.23,1.07,1.42,1.33,1.53,1.33,4.06,1.44
a_0,0.59,0.93,0.7,1.01,0.69,0.59,1.03,1.09,1.12,1.24,1.26,1.12,1.44,1.11,1.16,3.27
