,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.57,1.82,1.69,1.7,1.32,0.52,0.67,0.47,0.57,0.5,0.59,0.32,0.47,0.4,0.39
d_1,1.9,1.05,1.89,1.75,1.56,1.42,0.63,0.46,0.56,0.65,0.48,0.47,0.34,0.46,0.47,0.25
e_1,1.23,1.89,1.05,1.96,1.87,1.69,0.68,0.78,0.57,0.69,0.57,0.66,0.46,0.49,0.59,0.44
c_1,1.86,2.08,1.52,1.05,2.23,1.52,0.63,0.69,0.58,0.38,0.47,0.48,0.48,0.44,0.49,0.42
b_1,2.14,2.24,2.09,1.24,1.05,2.03,0.91,0.7,0.8,0.62,0.82,0.61,0.5,0.57,0.58,0.51
a_1,3.27,2.83,2.86,2.87,1.53,1.06,1.06,1.05,0.96,0.85,1.03,0.84,0.73,0.95,0.71,0.61
h_1,6.07,5.13,4.84,5.07,4.9,3.6,1.28,2.06,1.61,1.53,1.55,1.47,1.63,1.59,1.3,1.26
g_1,5.87,5.94,5.06,5.82,5.61,4.4,1.7,1.28,1.62,1.58,1.64,1.79,0.95,1.46,1.4,1.44
c_0,6.53,4.09,5.74,9.0,5.8,4.51,2.23,2.09,1.38,2.17,1.8,1.62,1.31,1.69,1.4,1.19
d_0,5.11,7.72,3.63,6.86,5.56,5.13,2.33,2.34,1.68,1.42,1.89,1.66,1.34,1.58,1.45,1.43
b_0,6.54,5.57,6.02,8.41,7.2,4.72,2.26,2.17,1.28,1.78,1.38,1.65,1.5,2.16,1.47,1.22
f_0,7.52,6.56,5.84,7.02,5.88,5.0,2.56,1.69,1.92,2.11,1.93,1.41,1.56,1.75,2.11,0.96
h_0,8.54,8.08,7.22,7.24,7.17,5.94,2.99,3.19,2.13,2.25,2.16,2.0,1.95,1.96,1.92,1.68
a_0,7.95,6.95,7.88,8.21,8.82,8.48,2.69,2.84,1.98,2.32,1.49,2.09,1.94,1.46,1.86,1.79
e_0,10.6,7.24,9.44,8.72,7.64,6.49,3.17,2.59,2.57,2.5,2.41,1.32,1.98,2.08,1.48,1.56
g_0,9.59,11.46,8.82,9.21,7.65,6.98,2.62,3.48,2.67,2.77,2.71,2.85,1.76,2.73,2.67,2.16
