,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.4,0.63,0.95,0.65,0.78,0.83,1.75,2.55,1.52,1.09,1.51,2.07,1.75,2.2,1.08,2.15
f_1,1.22,2.44,0.66,0.73,0.65,0.87,1.3,1.64,1.82,1.26,1.68,0.83,1.61,1.75,1.66,2.28
c_1,0.65,0.85,2.53,0.94,1.18,0.63,1.29,1.34,0.71,1.41,1.39,1.74,1.54,2.01,1.83,1.94
d_1,0.78,0.79,0.62,2.54,0.77,0.75,1.73,0.85,2.34,1.54,2.02,1.81,1.96,2.45,1.96,1.64
b_1,0.77,0.83,0.79,0.83,2.61,1.12,1.52,1.62,1.68,1.43,0.64,1.53,1.43,2.03,1.49,2.21
a_1,0.73,0.71,0.92,0.74,0.63,3.3,1.87,1.97,1.59,1.5,1.82,1.52,1.08,2.1,2.07,2.88
h_1,0.78,1.4,1.01,1.0,0.96,0.84,3.94,2.1,2.23,2.97,2.49,2.3,2.15,2.1,2.34,2.94
d_0,0.91,1.14,1.73,0.55,1.04,0.87,1.7,3.69,2.3,2.13,2.12,2.2,2.2,2.95,2.12,2.47
c_0,1.09,1.09,0.71,1.08,1.0,0.91,1.81,2.14,3.79,2.43,3.97,2.54,2.54,2.81,2.02,2.17
g_1,1.1,0.91,1.06,1.33,0.97,0.87,1.43,1.75,1.9,4.56,2.21,2.87,2.23,2.49,2.03,1.66
b_0,0.97,1.1,1.16,1.06,0.74,1.06,1.92,2.07,2.03,2.3,4.17,2.17,4.28,2.79,1.97,2.91
f_0,0.89,0.8,1.03,1.01,1.11,1.08,2.1,2.47,2.49,2.06,2.81,4.26,2.92,3.65,3.96,2.58
a_0,1.14,1.17,1.14,1.12,0.93,0.68,2.12,2.57,2.67,1.97,1.84,2.12,4.47,2.59,2.42,2.28
h_0,0.91,1.36,0.98,1.0,1.06,0.97,0.84,2.09,2.4,2.47,2.27,2.05,1.82,1.96,2.28,3.71
e_0,0.6,1.28,0.92,1.13,0.96,0.89,2.12,2.42,2.75,2.36,2.76,1.98,2.42,3.18,4.96,3.13
g_0,0.9,0.98,1.01,1.56,0.91,0.83,1.81,1.71,2.46,,2.26,3.22,2.45,2.21,2.04,1.63
