,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,38.23,0.07,0.06,0.06,0.08,0.07,0.27,0.28,0.73,0.32,,0.44,0.61,0.29,0.36,0.52
f_1,0.07,38.62,0.13,0.05,0.07,0.09,0.31,0.24,0.35,0.45,0.38,,0.35,0.31,0.31,0.61
e_1,0.05,0.06,38.92,0.07,0.08,0.08,0.29,0.25,0.33,0.3,0.91,0.3,0.58,0.24,,0.43
c_1,0.06,0.06,0.09,43.74,0.09,0.04,0.32,0.27,,0.27,0.58,0.41,0.55,0.36,0.32,0.68
b_1,0.05,0.09,0.07,0.06,49.71,0.17,0.31,0.21,0.41,,0.29,0.29,0.64,0.44,,0.43
a_1,0.06,0.09,0.07,0.07,0.04,66.2,0.34,0.18,0.36,0.39,0.38,0.3,0.88,,0.36,0.36
h_1,0.3,0.35,0.2,0.32,0.27,0.24,27.71,1.58,1.4,1.34,0.9,1.32,,1.29,1.22,3.3
g_1,0.4,0.22,0.19,0.26,0.31,0.22,0.83,32.24,1.24,1.33,1.38,1.94,2.93,1.41,1.16,
c_0,0.27,0.3,0.32,,0.25,0.38,1.41,1.69,17.62,4.05,1.36,2.41,3.19,2.04,1.72,2.88
b_0,0.44,0.33,0.3,0.35,,0.22,1.49,1.45,2.31,18.97,2.35,2.24,2.65,3.17,1.44,2.28
d_0,,0.38,0.46,0.84,0.29,0.28,1.54,1.27,1.49,1.53,17.36,2.09,3.43,2.08,1.9,2.74
f_0,0.33,,0.31,0.37,0.48,0.32,1.56,1.82,1.52,1.86,1.53,21.04,2.98,1.29,5.38,2.89
h_0,0.64,0.52,0.51,0.56,0.51,0.48,,2.33,3.09,4.38,2.98,2.88,,2.33,3.64,5.18
a_0,0.29,0.37,0.22,0.3,0.28,,1.95,1.51,1.55,1.45,1.6,2.55,3.29,29.46,,4.88
e_0,0.34,0.31,,0.37,0.34,0.37,1.37,1.96,1.83,1.54,1.6,,3.35,3.51,31.79,3.06
g_0,0.85,0.49,0.35,0.4,0.63,0.47,2.19,,3.08,2.69,3.45,5.28,4.0,2.02,2.9,
