,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.85,0.94,1.0,0.8,0.71,0.49,0.54,0.44,0.46,0.43,0.46,0.35,0.33,0.34,0.35
f_1,1.2,1.0,0.96,0.91,0.8,0.64,0.44,0.45,0.41,0.46,0.37,0.35,0.29,0.32,0.33,0.25
d_1,1.04,1.04,1.0,0.89,0.82,0.62,0.49,0.46,0.53,0.37,0.44,0.37,0.35,0.32,0.28,0.31
c_1,0.99,1.07,1.13,1.0,1.15,0.76,0.51,0.35,0.39,0.43,0.37,0.38,0.36,0.32,0.34,0.32
b_1,1.24,1.26,1.26,0.89,1.0,1.07,0.62,0.5,0.55,0.52,0.45,0.4,0.43,0.36,0.36,0.34
a_1,1.43,1.62,1.54,1.35,0.94,1.0,0.82,0.61,0.65,0.68,0.71,0.51,0.54,0.48,0.49,0.41
h_1,2.04,2.22,2.0,2.01,1.66,1.2,1.0,0.82,0.84,0.98,0.8,0.72,0.72,0.66,0.75,0.59
d_0,1.87,2.16,2.13,2.89,2.07,1.61,1.16,1.0,0.87,1.01,0.94,0.9,0.85,0.7,0.82,0.72
c_0,2.27,2.47,1.94,2.5,1.8,1.45,1.16,1.08,1.0,0.97,1.22,0.93,0.9,0.87,0.77,0.72
g_1,2.1,2.26,2.66,2.29,1.91,1.5,1.03,0.98,1.01,1.0,0.97,0.95,0.73,0.76,0.8,0.77
b_0,2.28,2.54,2.2,2.76,2.21,1.41,1.23,1.12,0.84,1.07,1.0,0.95,0.93,1.05,0.81,0.76
f_0,2.26,2.77,2.64,2.69,2.4,1.88,1.38,1.18,1.08,1.05,1.06,1.0,1.0,0.88,0.75,1.15
h_0,2.85,3.36,2.89,2.78,2.33,1.81,1.38,1.21,1.12,1.32,1.06,0.97,1.0,0.92,1.0,0.78
a_0,2.97,3.09,3.09,2.94,2.87,2.09,1.53,1.37,1.24,1.25,1.03,1.16,1.12,1.0,1.04,0.98
g_0,2.96,3.04,3.58,2.84,2.75,2.05,1.34,1.23,1.26,1.26,1.25,1.35,1.02,0.93,1.0,1.01
e_0,2.87,3.74,3.24,3.3,2.84,2.43,1.64,1.45,1.38,1.33,1.29,0.89,1.25,1.06,1.01,1.0
