,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.56,0.66,1.21,0.66,0.58,0.49,0.8,0.75,0.79,0.89,0.89,0.38,0.88,0.82,0.57,0.89
d_1,0.73,2.64,0.58,0.5,0.6,0.65,1.02,0.99,1.75,0.51,1.22,1.07,0.91,1.1,1.07,0.83
e_1,0.75,0.55,2.71,0.79,0.61,0.55,0.93,0.93,0.87,1.73,0.86,1.05,1.07,0.96,0.66,0.94
c_1,0.65,0.6,0.61,2.84,1.22,0.5,0.94,0.78,0.37,0.83,0.7,0.91,0.87,0.87,0.82,0.92
b_1,0.6,0.67,0.59,0.62,3.14,1.37,0.73,0.78,0.68,0.81,0.35,0.85,0.94,0.76,1.04,1.12
a_1,0.69,0.69,0.48,0.68,0.7,4.51,1.12,0.95,1.0,0.75,0.99,1.07,1.2,0.45,1.09,0.99
h_1,1.03,0.8,0.76,0.92,0.51,0.76,3.04,1.44,1.1,1.0,1.4,1.04,0.74,1.15,1.13,1.65
g_1,0.65,1.34,0.6,0.74,0.78,0.71,0.93,3.24,1.06,0.97,1.17,1.79,1.02,1.15,1.27,0.8
c_0,0.96,1.02,0.79,0.57,0.49,0.65,1.07,1.19,2.2,1.19,2.3,1.4,1.4,1.33,1.22,1.3
d_0,0.82,0.42,0.76,1.52,0.74,0.7,1.15,1.09,0.78,2.14,1.35,1.21,1.1,1.21,1.13,1.06
b_0,0.87,1.03,0.8,0.92,0.36,0.58,1.07,1.2,1.29,1.02,2.48,1.24,1.29,2.37,1.17,1.16
f_0,0.54,0.91,0.6,1.02,0.69,0.76,1.13,1.09,1.12,1.41,1.24,2.38,1.31,1.25,2.75,1.24
h_0,1.14,1.0,0.78,0.68,0.67,0.66,0.53,1.6,1.32,1.11,1.08,1.08,0.88,1.07,1.12,1.59
a_0,0.84,0.88,0.79,1.07,0.67,0.46,0.93,1.13,1.18,1.28,1.1,1.18,1.26,2.97,1.37,1.15
e_0,0.91,0.9,0.57,0.82,0.7,0.84,1.21,1.35,1.35,1.12,1.58,1.06,1.27,1.57,3.02,1.14
g_0,0.75,1.34,0.65,0.72,0.67,0.74,1.01,0.84,1.16,0.87,1.3,1.88,1.18,0.98,1.3,0.79
