,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.15,61.85,103.85,86.49,80.03,91.67,19.95,24.34,16.2,14.27,19.79,16.45,10.62,16.26,,11.03
f_1,94.49,1.15,97.91,72.73,93.83,106.94,14.78,37.16,15.09,18.47,,13.24,7.08,17.0,12.76,18.39
d_1,105.29,93.56,1.15,103.23,118.3,83.7,21.0,16.81,,14.6,14.58,20.11,11.18,23.38,15.42,8.28
c_1,118.87,96.03,126.93,1.15,129.57,74.04,23.47,32.09,9.1,,19.1,24.68,10.9,14.96,26.43,13.79
b_1,111.67,121.63,122.39,52.46,1.15,113.24,33.25,39.22,18.97,34.89,25.18,,16.35,26.71,19.47,18.39
a_1,122.83,202.72,228.47,228.57,71.61,1.15,72.55,,25.54,34.89,36.93,,22.37,,,20.69
h_1,102.36,93.56,85.68,103.23,108.84,128.33,2.0,27.15,17.95,19.03,21.31,21.72,,16.26,18.5,14.39
g_1,118.87,117.71,103.85,96.97,108.84,,19.95,2.0,44.27,27.3,19.79,24.68,11.81,31.17,26.43,
d_0,49.13,89.0,,94.12,90.7,62.1,28.5,32.09,3.03,17.94,14.58,23.61,15.18,19.68,17.62,16.55
c_0,127.07,79.33,45.09,,113.38,77.0,36.27,26.15,20.75,3.03,34.62,20.11,12.5,17.81,16.09,17.42
f_0,102.36,,149.0,96.97,108.84,96.25,31.92,19.08,33.2,21.66,2.76,33.94,23.61,17.0,23.13,10.03
b_0,111.67,110.58,92.62,133.33,,,38.0,33.62,33.2,12.31,29.16,2.87,20.24,24.93,16.82,12.26
h_0,122.83,91.22,83.59,100.0,82.45,101.32,,32.09,15.81,24.15,26.38,14.29,,14.38,21.76,8.71
a_0,167.5,228.06,142.79,228.57,170.06,,33.25,27.15,39.06,52.33,39.57,18.1,26.56,3.09,,
e_0,,173.76,171.35,213.33,160.06,,46.94,32.09,34.95,34.89,14.97,36.2,30.36,,2.89,
g_0,115.16,107.32,131.81,145.45,118.3,137.5,38.0,,27.67,16.97,25.18,23.61,11.81,,,
