,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.36,1.96,2.23,1.98,1.74,0.87,0.79,0.83,0.59,0.6,0.72,0.46,0.55,0.53,0.78
f_1,2.22,1.06,1.78,2.12,1.67,1.79,0.56,0.8,0.61,0.53,0.56,0.81,0.35,0.5,0.39,0.46
d_1,2.42,2.5,1.06,2.19,1.87,1.71,0.88,0.59,1.11,0.78,0.61,0.65,0.5,0.55,0.35,0.53
c_1,1.92,2.42,2.46,1.06,2.84,1.8,0.85,0.81,0.43,0.81,0.53,0.56,0.49,0.52,0.49,0.54
b_1,2.75,2.91,2.92,1.45,1.06,2.65,1.01,1.01,0.7,0.97,1.29,0.76,0.62,0.75,0.62,0.6
a_1,3.83,3.54,3.32,4.11,1.94,1.07,1.69,1.31,1.19,1.12,1.37,1.04,0.86,1.39,0.79,0.83
h_1,5.18,6.49,5.14,5.41,5.26,4.17,1.31,1.99,1.66,1.54,1.43,1.49,1.62,1.46,1.33,1.23
g_1,6.55,6.29,6.91,5.81,6.16,5.67,1.95,1.31,2.03,1.66,1.68,1.83,1.22,1.57,1.59,1.53
d_0,4.12,6.99,7.38,7.45,7.18,5.13,2.38,2.71,1.5,1.76,1.8,1.74,1.72,1.64,1.76,1.35
c_0,6.8,8.2,4.45,9.61,5.69,4.99,2.76,3.1,2.45,1.48,2.53,1.85,1.79,1.8,1.64,1.69
b_0,7.23,7.21,6.63,12.18,9.43,5.59,2.73,2.69,2.22,1.28,1.48,1.95,1.6,2.16,1.31,1.63
f_0,7.07,11.58,7.13,7.0,6.63,5.6,3.19,1.97,2.6,2.46,2.24,1.45,1.78,2.11,1.29,2.11
h_0,9.91,10.09,8.46,9.55,8.4,6.44,3.97,3.62,2.47,2.37,2.77,2.26,2.88,2.11,2.17,2.0
a_0,9.3,10.24,9.63,10.73,10.45,11.33,3.62,3.56,3.09,2.9,1.73,2.92,2.52,1.55,2.05,1.99
g_0,10.24,13.28,11.3,11.48,10.95,7.9,3.21,4.36,3.28,2.79,2.95,3.11,1.76,2.71,2.49,2.36
e_0,12.51,15.39,10.97,10.78,11.42,8.98,4.72,3.59,3.4,2.95,3.53,1.87,2.85,3.45,2.03,1.62
