,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,1.21,0.87,1.68,1.38,1.23,0.68,0.61,0.49,0.57,0.6,0.53,0.44,0.46,0.71,0.43
d_1,1.57,0.65,1.24,1.29,1.4,1.13,0.57,0.38,0.52,0.81,0.45,0.39,0.39,0.43,0.42,0.27
f_1,1.41,1.35,0.65,1.22,1.31,1.12,0.48,0.66,0.43,0.48,0.56,0.44,0.29,0.42,0.36,0.45
c_1,1.07,1.61,1.52,0.63,1.6,1.09,0.56,0.82,0.69,0.3,0.52,0.44,0.39,0.45,0.47,0.35
b_1,1.49,1.44,1.57,0.85,0.63,1.54,0.67,0.67,0.58,0.49,0.5,0.71,0.47,0.51,0.58,0.42
a_1,1.66,1.65,2.02,1.8,0.87,0.58,0.8,0.75,0.64,0.78,0.63,0.99,0.45,1.04,0.53,0.47
h_1,1.74,1.86,2.0,2.06,1.94,2.02,0.58,0.87,0.66,0.69,0.69,0.71,0.85,0.59,0.58,0.64
g_1,2.26,2.39,1.97,2.11,1.95,1.93,0.82,0.55,0.76,0.85,0.76,0.79,0.48,0.7,0.72,0.81
c_0,2.22,1.38,2.26,3.19,2.91,2.36,1.02,0.87,0.59,1.21,0.76,0.93,0.71,0.84,0.73,0.69
d_0,1.38,3.61,2.3,2.8,2.19,1.76,1.08,1.12,0.78,0.59,0.83,0.85,0.69,0.83,0.8,0.77
f_0,2.11,2.01,3.75,2.3,2.49,2.14,1.09,0.77,0.83,0.97,0.57,0.79,0.75,0.75,1.0,0.52
b_0,2.15,2.29,2.54,3.39,3.35,1.75,1.04,0.93,0.53,0.87,0.76,0.58,0.77,0.99,0.79,0.58
h_0,2.42,2.5,3.18,2.55,2.15,2.46,1.29,1.37,1.01,0.95,0.85,0.83,0.89,0.87,0.75,0.85
a_0,2.99,2.29,2.6,3.0,3.09,2.84,1.22,1.25,0.88,0.92,0.97,0.53,0.76,0.56,0.92,0.84
e_0,3.39,2.48,3.6,2.52,2.41,2.1,1.16,1.09,1.06,0.94,0.5,0.97,0.84,0.92,0.56,0.76
g_0,2.77,2.87,2.77,2.54,2.62,2.83,0.96,1.42,1.0,1.08,0.96,1.06,0.64,0.79,0.93,1.07
