,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.32,0.44,0.5,0.29,0.24,0.25,0.73,1.62,0.72,0.68,0.81,0.86,0.76,0.78,0.25,0.89
f_1,0.6,24.39,0.39,0.31,0.3,0.43,0.64,0.73,0.73,0.75,0.78,0.24,0.89,0.68,0.59,0.64
c_1,0.34,0.35,24.95,0.36,0.68,0.26,0.64,0.86,0.72,0.11,0.64,0.81,0.97,0.8,0.82,0.69
d_1,0.29,0.3,0.24,27.66,0.43,0.34,0.98,0.18,0.83,1.81,0.83,0.84,0.96,0.86,0.84,0.99
b_1,0.32,0.28,0.34,0.37,31.2,0.81,0.55,0.75,0.58,0.74,0.13,0.85,0.91,0.79,0.95,0.83
a_1,0.46,0.36,0.3,0.34,0.29,44.6,0.74,0.62,0.63,0.78,1.03,0.73,0.97,0.23,0.89,1.11
h_1,0.49,1.13,0.47,0.77,0.55,0.48,11.33,1.37,2.01,1.56,1.3,1.53,0.43,1.51,0.83,1.96
d_0,0.6,0.72,1.45,0.13,0.69,0.54,1.6,4.53,1.14,1.15,1.65,1.47,1.32,1.85,1.82,1.22
g_1,0.53,0.61,0.51,1.1,0.57,0.57,1.15,1.13,12.52,1.63,1.73,2.57,1.44,1.38,1.4,0.84
c_0,0.62,0.8,0.24,0.87,0.63,0.62,1.72,1.32,1.35,5.72,4.15,1.63,2.04,1.48,1.99,1.62
b_0,0.69,0.67,0.71,0.84,0.21,0.59,1.23,1.57,1.41,1.54,6.8,1.79,1.76,3.59,2.2,1.66
f_0,0.5,0.3,0.77,0.76,0.77,0.73,1.56,1.93,1.25,1.41,2.0,6.99,1.75,1.22,4.17,2.47
h_0,0.53,0.99,0.67,0.61,0.6,0.53,0.74,1.57,2.08,1.57,1.65,1.86,0.6,1.72,1.48,2.06
a_0,0.7,0.71,0.74,0.86,0.54,,1.45,2.06,1.02,1.96,1.21,1.48,1.66,9.12,1.82,1.56
e_0,0.14,0.66,0.88,0.77,0.71,0.99,1.77,1.67,1.2,1.34,1.79,1.33,1.83,1.52,9.33,2.44
g_0,0.5,0.48,0.54,1.35,0.75,0.69,1.15,1.06,0.45,1.41,1.7,2.44,1.54,1.51,1.71,0.65
