,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.92,2.2,2.07,2.13,1.63,0.75,0.78,0.7,0.75,0.75,1.41,0.56,0.74,0.57,0.84
d_1,2.35,0.66,2.01,2.04,1.87,1.84,1.02,0.69,0.86,2.33,0.66,0.77,0.56,0.74,0.49,0.63
e_1,1.45,2.38,0.66,2.13,2.25,1.65,0.96,1.11,0.83,0.95,0.75,0.82,0.6,0.65,0.72,1.07
c_1,2.06,2.5,2.11,0.64,2.12,2.62,0.92,0.97,1.64,0.49,0.68,0.75,0.59,0.75,0.6,0.77
b_1,2.19,2.33,2.49,1.47,0.63,2.66,1.02,0.98,0.88,0.87,1.96,0.72,0.77,0.75,0.66,0.8
a_1,2.97,2.61,2.84,2.26,1.56,0.59,1.22,1.19,0.88,0.89,1.39,0.94,0.7,1.84,0.75,0.62
h_1,2.95,2.36,2.63,2.94,2.48,2.34,0.6,1.27,0.99,0.97,0.89,0.85,1.18,0.85,0.8,0.86
g_1,3.64,2.95,2.5,3.26,2.91,2.49,1.1,0.57,0.95,0.83,0.9,0.96,0.74,0.97,1.01,0.85
c_0,3.02,1.83,2.72,5.05,3.66,3.21,1.31,1.35,0.65,1.22,1.24,1.09,0.85,1.1,0.77,0.99
d_0,2.84,4.83,1.79,3.4,3.17,3.13,1.59,1.8,1.01,0.66,1.09,1.09,0.99,1.04,0.87,1.34
b_0,3.31,2.79,3.17,4.52,5.43,2.42,1.33,1.23,0.63,0.96,0.64,0.95,0.9,1.46,0.99,1.02
f_0,4.65,2.74,2.85,3.3,3.55,4.08,1.43,1.04,1.03,1.04,1.03,0.62,0.98,0.91,0.7,1.16
h_0,3.54,3.38,3.02,3.81,3.39,3.08,2.81,1.55,1.15,1.32,1.05,1.16,1.7,1.0,1.18,1.07
a_0,4.06,3.34,3.76,4.07,4.03,4.03,1.69,1.46,1.22,1.58,0.66,1.31,1.1,0.57,1.02,1.09
g_0,4.2,3.39,3.5,3.62,3.73,3.25,1.4,2.6,1.38,1.38,1.24,1.23,0.8,1.07,1.62,1.06
e_0,3.88,3.42,7.12,3.29,3.0,4.26,1.7,1.88,1.26,1.08,1.2,0.76,1.11,1.59,0.98,0.58
