,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.65,1.12,0.53,0.51,0.58,0.49,0.88,0.74,0.73,0.92,0.92,0.29,0.86,0.86,0.73,1.01
e_1,0.69,2.77,0.72,0.55,0.51,0.62,0.96,1.85,0.91,1.13,0.95,1.13,0.88,0.88,0.72,0.89
c_1,0.58,0.61,3.04,0.61,1.12,0.54,0.74,0.79,0.69,0.3,0.86,0.91,0.88,0.89,0.79,0.9
d_1,0.68,0.54,0.52,3.24,0.53,0.62,0.85,0.51,1.08,1.6,1.11,0.8,1.12,1.05,0.79,1.1
b_1,0.67,0.52,0.59,0.68,3.51,1.14,0.96,0.69,0.77,0.69,0.28,1.04,0.94,0.66,0.72,1.13
a_1,0.61,0.5,0.66,0.66,0.63,4.94,0.96,0.98,0.89,0.95,0.89,1.23,0.97,0.42,1.24,0.74
h_1,1.04,0.69,0.75,0.79,0.61,0.59,2.95,1.06,1.43,1.13,1.42,1.0,0.72,1.08,1.28,1.38
d_0,0.69,0.62,1.56,0.42,0.6,0.74,1.03,2.22,1.23,1.0,1.37,1.18,1.34,1.28,1.35,1.02
g_1,0.64,0.65,0.8,1.2,0.83,0.55,0.93,0.84,3.82,0.84,1.15,2.07,1.22,1.31,1.22,0.68
c_0,0.73,0.69,0.53,0.93,0.61,0.59,1.29,1.16,1.25,2.55,2.45,1.09,1.44,1.46,1.36,1.07
b_0,0.88,0.75,0.92,0.81,0.36,0.51,1.29,1.2,1.12,0.98,2.69,1.3,1.48,2.57,1.54,1.16
f_0,0.42,0.64,0.92,0.86,0.8,0.5,1.19,1.26,1.27,1.01,1.2,3.14,1.62,1.89,3.33,0.99
h_0,1.16,0.78,0.69,0.81,0.69,0.73,0.84,0.95,1.47,0.96,1.3,1.13,0.6,1.22,1.46,1.61
a_0,0.76,0.78,0.94,0.78,0.77,0.31,1.15,1.2,1.12,1.16,0.86,1.34,1.41,3.53,1.38,1.27
e_0,0.61,0.38,0.93,1.18,0.84,0.73,1.02,1.03,1.41,1.42,1.15,1.09,1.58,1.22,3.72,1.0
g_0,0.67,0.68,0.82,1.19,0.71,0.69,1.12,0.93,0.81,1.08,1.03,2.02,1.09,1.12,1.31,0.72
