,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,36.56,0.06,0.05,0.07,0.05,0.08,0.32,0.74,0.18,0.35,0.31,0.33,0.52,0.38,,0.76
f_1,0.12,37.2,0.08,0.09,0.07,0.09,0.24,0.41,0.24,0.31,0.36,,0.48,0.32,0.4,0.37
d_1,0.06,0.07,41.1,0.04,0.07,0.07,0.26,,0.38,0.81,0.38,0.35,0.59,0.25,0.46,0.56
c_1,0.06,0.05,0.08,41.21,0.11,0.07,0.31,0.34,0.32,,0.34,0.47,0.8,0.38,0.28,0.36
b_1,0.07,0.06,0.09,0.06,49.27,0.16,0.26,0.38,0.25,0.31,,0.39,0.55,0.31,0.35,0.56
a_1,0.05,0.06,0.08,0.06,0.09,73.2,0.28,0.45,0.27,0.32,0.42,0.25,0.61,,,0.54
h_1,0.3,0.46,0.19,0.22,0.24,0.18,27.57,1.45,1.15,1.08,1.79,1.34,,2.07,1.35,2.75
d_0,0.36,0.36,,0.62,0.28,0.35,1.49,16.39,1.34,2.01,1.97,1.82,3.57,1.55,2.12,3.64
g_1,0.22,0.2,0.33,0.24,0.3,0.26,1.15,1.45,34.71,1.11,1.07,2.84,2.75,1.33,1.09,
c_0,0.41,0.37,0.33,,0.39,0.28,1.42,1.6,1.42,18.91,3.9,2.02,2.75,1.78,2.55,2.55
b_0,0.44,0.35,0.25,0.34,,0.22,1.32,1.72,1.26,2.13,20.39,1.92,3.7,3.95,1.89,3.63
f_0,0.27,,0.49,0.4,0.3,0.28,1.46,1.62,1.62,2.34,2.34,20.71,2.6,2.16,3.86,3.32
h_0,0.32,0.78,0.49,0.55,0.57,0.42,,3.13,3.45,3.5,3.1,3.53,,2.04,3.42,5.79
a_0,0.33,0.32,0.37,0.32,0.33,,1.7,2.45,1.43,2.36,1.34,1.55,4.09,29.94,,2.32
e_0,,0.41,0.35,0.33,0.37,0.39,2.67,1.84,1.61,1.77,1.53,,3.28,2.88,30.79,2.82
g_0,0.49,0.35,0.85,0.66,0.53,0.35,2.86,2.79,,3.09,2.92,5.58,3.62,2.14,2.05,
