,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,1.15,1.7,2.22,3.94,19.03,48.39,35.73,35.8,56.93,75.07,72.74,90.69,147.83,145.7
f_1,1.21,1.0,1.25,1.21,1.61,3.01,13.08,27.65,33.55,34.22,39.0,49.88,80.6,70.99,85.1,121.2
d_1,0.87,0.8,1.0,1.06,1.27,3.38,16.54,25.98,21.75,40.35,43.16,42.41,66.94,78.55,89.4,84.95
c_1,0.59,0.83,0.95,1.0,1.74,3.07,14.2,17.93,22.91,21.44,32.81,39.23,56.65,71.37,81.83,106.28
b_1,0.45,0.62,0.79,0.58,1.0,2.97,10.4,19.93,21.32,21.19,16.58,35.89,41.27,56.51,59.55,52.95
a_1,0.25,0.33,0.3,0.33,0.34,1.0,5.06,7.22,9.94,9.8,14.5,16.65,15.82,20.61,23.99,32.79
h_1,0.05,0.08,0.06,0.07,0.1,0.19,1.0,1.56,1.8,1.62,2.15,2.72,4.17,4.17,5.4,7.88
d_0,0.02,0.04,0.04,0.06,0.05,0.14,0.64,1.0,1.05,0.94,1.47,1.64,2.63,2.9,2.97,4.53
g_1,0.03,0.03,0.05,0.05,0.05,0.1,0.55,0.93,1.0,1.14,1.32,2.14,2.48,2.51,3.23,4.48
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.63,1.03,0.91,1.0,1.99,1.82,2.29,2.67,3.12,4.34
b_0,0.02,0.03,0.02,0.03,,0.07,0.47,0.65,0.73,0.51,1.0,1.33,2.7,1.88,1.89,2.64
f_0,0.01,0.02,0.02,0.03,0.03,0.06,0.36,0.6,0.49,0.6,0.73,1.0,1.57,1.49,2.68,1.91
a_0,0.01,0.01,0.01,0.02,0.03,,0.24,0.38,0.41,0.44,0.34,0.67,1.0,1.14,1.27,1.51
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.23,0.36,0.39,0.37,0.52,0.61,0.91,1.0,1.07,1.87
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.34,0.33,0.34,0.55,0.39,0.72,1.01,1.0,1.39
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.22,0.23,0.24,0.38,0.53,0.65,0.54,0.75,1.0
