,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.18,0.28,0.45,0.56,0.48,0.48,0.13,0.11,0.14,0.09,0.08,0.1,0.06,0.15,0.09,0.08
f_1,0.45,0.17,0.43,0.45,0.46,0.39,0.09,0.11,0.16,0.09,0.09,0.11,0.05,0.07,0.08,0.07
d_1,0.51,0.53,0.15,0.47,0.46,0.38,0.12,0.16,0.07,0.08,0.08,0.08,0.06,0.09,0.07,0.04
c_1,0.34,0.49,0.55,0.15,0.45,0.42,0.12,0.05,0.15,0.15,0.11,0.1,0.07,0.09,0.08,0.06
b_1,0.52,0.44,0.51,0.24,0.14,0.47,0.13,0.1,0.15,0.13,0.21,0.1,0.08,0.1,0.12,0.06
a_1,0.45,0.53,0.59,0.46,0.23,0.09,0.14,0.1,0.12,0.12,0.12,0.1,0.07,0.1,0.22,0.07
h_1,0.38,0.44,0.39,0.4,0.39,0.35,0.05,0.09,0.12,0.08,0.08,0.07,0.08,0.07,0.08,0.06
d_0,0.25,0.4,0.59,0.51,0.39,0.41,0.13,0.06,0.14,0.1,0.09,0.08,0.06,0.08,0.08,0.08
g_1,0.39,0.46,0.38,0.43,0.39,0.38,0.08,0.09,0.05,0.08,0.09,0.08,0.04,0.08,0.07,0.07
c_0,0.48,0.44,0.23,0.76,0.48,0.33,0.12,0.12,0.1,0.05,0.08,0.09,0.06,0.08,0.07,0.06
b_0,0.4,0.37,0.31,0.55,0.66,0.39,0.12,0.1,0.1,0.05,0.05,0.08,0.06,0.09,0.07,0.06
f_0,0.38,0.65,0.36,0.46,0.4,0.34,0.14,0.07,0.07,0.08,0.08,0.05,0.05,0.07,0.08,0.04
h_0,0.37,0.4,0.35,0.43,0.35,0.37,0.15,0.09,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.07
e_0,0.47,0.54,0.31,0.52,0.48,0.33,0.11,0.09,0.09,0.08,0.07,0.04,0.05,0.03,0.07,0.05
a_0,0.4,0.39,0.32,0.48,0.53,0.62,0.13,0.09,0.1,0.06,0.04,0.11,0.05,0.08,0.03,0.06
g_0,0.39,0.44,0.37,0.43,0.38,0.33,0.09,0.09,0.13,0.09,0.1,0.07,0.04,0.07,0.08,0.06
