,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,5.93,1.25,1.33,1.0,1.34,1.21,4.68,4.83,11.78,3.07,8.2,7.41,10.32,10.89,6.56,6.11
e_1,1.03,5.94,1.33,1.61,1.3,1.44,4.89,4.68,6.72,11.45,7.19,7.16,8.73,9.16,6.19,2.84
f_1,1.31,2.39,6.15,1.3,0.96,1.15,5.05,3.69,4.69,5.82,5.82,2.95,8.15,7.08,5.33,5.12
c_1,1.12,1.11,1.36,6.66,2.43,1.14,5.05,4.64,2.23,5.85,3.19,4.97,9.63,9.5,6.38,7.64
b_1,1.35,1.28,1.44,1.26,7.52,2.57,3.73,4.29,4.45,5.35,2.73,5.97,8.99,9.0,4.01,6.24
a_1,1.47,1.37,1.31,1.34,1.26,10.9,4.04,4.23,6.22,5.57,6.28,7.51,9.72,7.5,3.28,5.98
h_1,1.87,1.03,2.04,1.45,1.77,1.31,16.38,8.49,8.14,7.07,6.37,7.3,5.61,15.5,8.18,9.35
g_1,2.84,1.18,1.57,1.35,1.53,1.57,5.1,19.59,6.18,4.22,6.9,10.37,9.3,6.1,8.93,8.36
c_0,1.91,1.72,1.88,0.83,1.17,1.5,6.4,6.61,15.53,7.53,15.34,7.57,13.13,12.38,10.27,8.9
d_0,0.87,1.42,1.89,3.2,1.43,1.27,6.8,5.79,5.11,15.5,6.55,8.41,11.75,12.16,8.18,8.83
b_0,1.84,1.48,1.91,1.88,0.69,1.05,5.83,6.18,7.43,9.39,17.53,7.22,12.65,10.89,19.7,7.9
f_0,2.09,1.51,0.85,1.89,1.42,1.3,6.49,6.04,7.42,8.05,8.03,18.91,12.14,11.83,8.18,15.35
h_0,1.67,1.57,2.51,1.74,1.46,1.16,3.5,8.25,7.06,7.25,8.03,6.78,6.6,15.6,5.8,9.22
g_0,2.49,1.52,1.6,1.49,1.3,1.73,5.62,3.84,7.69,6.99,7.41,13.43,10.3,7.92,8.73,9.28
a_0,1.75,1.36,1.77,2.13,1.86,0.45,5.34,6.55,6.44,6.95,6.68,8.58,14.97,11.14,25.65,8.96
e_0,2.11,0.78,1.86,1.57,1.79,1.27,6.15,6.4,8.07,6.91,8.6,7.67,13.51,9.86,9.16,26.57
